rank,stock_id,name,industry,industry_canon,sector_l1,sector_l2,industry_ambiguous,gics_sector,gics_zh,gics_mixed,yf_sector,yf_super,icb_industry,yf_ticker,is_cyclical,cyclical_sector,date,revenue,revenue_prev_year,cum_revenue,cum_revenue_prev_year,yoy,mom,cum_yoy,cum_yoy_slope,cum_yoy_declining,consec_pos_yoy,mean_yoy_6m,std_yoy_6m,yoy_accelerating,seasonality,cagr_2y,n_months,pattern,score,tier
1,1674,模擬1674,綜合,綜合,非電子,其他,False,Industrials,工業,False,Industrials,Sensitive,Industrials,1674.TWO,False,,2026-05-01,160973268,124182224.0,809536448,620197821.0,29.63,3.73,30.53,0.5205714285714287,False,36,29.625,4.593592457616007,True,淡季不淡(強訊),30.988860649580687,36,穩定成長型,98.7,優選
2,3708,上緯投控,電機機械,電機機械,非電子,機電工業,False,Industrials,工業,False,Industrials,Sensitive,Industrials,3708.TW,False,,2026-05-01,23609937,18093234.0,121564024,92880737.0,30.49,4.52,30.88,0.34285714285714286,False,36,29.766666666666666,4.59829557795301,True,淡季不淡(強訊),31.97361970142829,36,穩定成長型,98.7,優選
3,1046,模擬1046,建材營造業,建材營造,非電子,建材營造,False,Real Estate,不動產,True,Real Estate,Cyclical,Real Estate,1046.TW,False,,2026-05-01,159731154,111252870.0,753921072,569607644.0,43.57,13.44,32.36,0.828,False,36,33.25833333333333,5.988498466968901,True,淡季不淡(強訊),35.151500648747856,36,穩定成長型,98.5,優選
4,2211,模擬2211,其他業,其他,非電子,其他,False,,,True,,,,2211.TW,False,,2026-05-01,16067231,9639066.0,71068854,47254107.0,66.69,9.51,50.4,3.716,False,36,47.86333333333334,10.253642713147796,True,淡季不淡(強訊),45.59120566529493,36,穩定成長型,97.4,優選
5,2005,模擬2005,電機機械,電機機械,非電子,機電工業,False,Industrials,工業,False,Industrials,Sensitive,Industrials,2005.TW,False,,2026-05-01,57714156,25617776.0,262890314,126845903.0,125.29,7.1,107.25,21.484571428571428,False,6,104.875,10.547449533734055,True,淡季不淡(強訊),0.37546481080907856,36,穩定成長型,97.4,優選
6,1082,模擬1082,綜合,綜合,非電子,其他,False,Industrials,工業,False,Industrials,Sensitive,Industrials,1082.TW,False,,2026-05-01,252969692,150681550.0,1122111069,744204881.0,67.88,9.13,50.78,3.2025714285714293,False,36,47.711666666666666,10.80243092497651,True,淡季不淡(強訊),47.15494811247814,36,穩定成長型,97.3,優選
7,1226,模擬1226,農業科技業,農業科技業,非電子,農業科技,False,Consumer Staples,必需消費,False,Consumer Defensive,Defensive,Consumer Staples,1226.TWO,False,,2026-05-01,22368236,10306102.0,105354415,51158352.0,117.04,3.51,105.94,22.050285714285714,False,6,102.53333333333335,10.924857995517481,True,淡季不淡(強訊),0.2329081525201726,36,穩定成長型,97.3,優選
8,2454,聯發科,半導體業,半導體業,電子,半導體,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2454.TW,False,,2026-05-01,49340573,29052519.0,217754412,143918361.0,69.83,8.32,51.3,3.6717142857142853,False,36,47.97,11.935765580807962,True,淡季不淡(強訊),45.253091503784674,36,穩定成長型,97.0,優選
9,1455,模擬1455,運動休閒,運動休閒,非電子,民生消費,False,Consumer Discretionary,非必需消費,False,Consumer Cyclical,Cyclical,Consumer Discretionary,1455.TW,False,,2026-05-01,209186210,123104149.0,923339959,610541483.0,69.93,7.19,51.23,3.709714285714286,False,36,47.705000000000005,12.341972762353137,True,淡季不淡(強訊),47.520782133200214,36,穩定成長型,96.9,優選
10,1531,模擬1531,電子零組件業,電子零組件業,電子,電子零組件,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1531.TW,False,,2026-05-01,41192026,24790111.0,181980183,121690430.0,66.16,6.2,49.54,3.700857142857142,False,36,46.03166666666667,12.552819625707826,True,淡季不淡(強訊),46.40330385500295,36,穩定成長型,96.9,優選
11,9001,真突破甲,半導體業,半導體業,電子,半導體,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,9001.TW,False,,2026-05-01,244880971,149246828.0,1099953320,719854634.0,64.08,6.83,52.8,4.659999999999999,False,36,49.11833333333334,12.271252879075641,True,淡季不淡(強訊),46.763225998503714,36,穩定成長型,96.9,優選
12,9002,真突破乙,電子零組件業,電子零組件業,電子,電子零組件,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,9002.TW,False,,2026-05-01,210407636,126437427.0,920004550,605694487.0,66.41,11.6,51.89,4.059142857142858,False,36,47.62166666666667,12.549011138554125,True,淡季不淡(強訊),47.77793082309885,36,穩定成長型,96.9,優選
13,3081,聯亞,光電業,光電業,電子,光電,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,3081.TWO,False,,2026-05-01,174826058,105269702.0,783716280,514622665.0,66.07,6.03,52.29,4.36,False,36,48.06333333333333,13.387321946113378,True,淡季不淡(強訊),47.17366788701749,36,穩定成長型,96.7,優選
14,2066,模擬2066,化學生技醫療,化學生技醫療,非電子,混類(化學/生技),True,,,True,,,,2066.TWO,False,,2026-05-01,94997790,55665912.0,416315320,273318664.0,70.66,9.74,52.32,4.191428571428571,False,36,48.655,13.102914116078654,True,淡季不淡(強訊),48.34390615558601,36,穩定成長型,96.7,優選
15,1622,模擬1622,光電業,光電業,電子,光電,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1622.TW,False,,2026-05-01,80234452,35491020.0,360744702,176944484.0,126.07,11.64,103.87,21.399714285714293,False,6,100.08999999999999,13.780106434035016,True,淡季不淡(強訊),-0.6440207865870184,36,穩定成長型,96.6,優選
16,1306,模擬1306,觀光事業,觀光餐旅,非電子,民生消費,False,Consumer Discretionary,非必需消費,False,Consumer Cyclical,Cyclical,Consumer Discretionary,1306.TW,False,,2026-05-01,232852951,136937360.0,1034418457,689024523.0,70.04,9.1,50.13,4.0602857142857145,False,36,45.52666666666667,14.985928585027876,True,淡季不淡(強訊),46.88054182956123,36,穩定成長型,96.3,優選
17,1449,模擬1449,汽車工業,汽車工業,非電子,機電工業,False,Consumer Discretionary,非必需消費,False,Consumer Cyclical,Cyclical,Consumer Discretionary,1449.TW,False,,2026-05-01,18213651,8002825.0,83539909,40890227.0,127.59,4.13,104.3,22.05542857142857,False,6,100.94666666666667,14.878515457606053,True,淡季不淡(強訊),-0.6198486538017911,36,穩定成長型,96.3,優選
18,1977,模擬1977,電器電纜,電器電纜,非電子,機電工業,False,Industrials,工業,False,Industrials,Sensitive,Industrials,1977.TW,False,,2026-05-01,125354857,73375226.0,543906877,356955129.0,70.84,12.01,52.37,3.998,False,36,47.531666666666666,15.14381877936415,True,淡季不淡(強訊),49.50039846212386,36,穩定成長型,96.2,優選
19,2284,模擬2284,貿易百貨業,貿易百貨,非電子,民生消費,False,Consumer Discretionary,非必需消費,True,Consumer Cyclical,Cyclical,Consumer Discretionary,2284.TWO,False,,2026-05-01,236379522,133249700.0,1020809643,657963909.0,77.4,9.16,55.15,5.114285714285714,False,36,50.97666666666667,16.0192849056657,True,淡季不淡(強訊),49.58001834236774,36,穩定成長型,96.0,優選
20,2076,模擬2076,資訊服務業,資訊服務業,電子,資訊服務,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2076.TWO,False,,2026-05-01,63155855,27881459.0,287713335,140048467.0,126.52,7.63,105.44,22.064857142857146,False,6,99.89,16.530554537986113,True,淡季不淡(強訊),1.9637585945623703,36,穩定成長型,95.9,優選
21,1675,模擬1675,其他業,其他,非電子,其他,False,,,True,,,,1675.TW,False,,2026-05-01,20512890,8890644.0,92661948,45222628.0,130.72,8.13,104.9,22.182285714285715,False,6,101.21500000000002,16.8237498297298,True,淡季不淡(強訊),1.1217264345867228,36,穩定成長型,95.8,優選
22,1735,模擬1735,電子商務,電子商務,非電子,民生消費,False,Consumer Discretionary,非必需消費,False,Consumer Cyclical,Cyclical,Consumer Discretionary,1735.TWO,False,,2026-05-01,19067667,8054930.0,82542494,40342323.0,136.72,14.74,104.61,21.813428571428574,False,6,102.08999999999999,17.83569267882056,True,淡季不淡(強訊),3.1435718657625733,36,穩定成長型,95.5,優選
23,9101,低基期假象甲,光電業,光電業,電子,光電,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,9101.TW,False,,2026-05-01,42607397,18246961.0,195921482,94471449.0,133.5,5.2,107.39,23.117142857142856,False,6,103.44166666666666,18.422574391822174,True,淡季不淡(強訊),1.128839635330925,36,穩定成長型,95.4,優選
24,2138,模擬2138,電器電纜,電器電纜,非電子,機電工業,False,Industrials,工業,False,Industrials,Sensitive,Industrials,2138.TWO,False,,2026-05-01,41977478,30793901.0,215198358,160175805.0,36.32,5.68,34.35,0.6688571428571436,False,36,33.669999999999995,2.102458877917315,True,旺季正常,28.302746230344322,36,穩定成長型,94.5,優選
25,2220,模擬2220,數位雲端,數位雲端,電子,數位雲端,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2220.TW,False,,2026-05-01,105288646,81449553.0,551695515,423492146.0,29.27,-6.13,30.27,0.012285714285714582,False,36,30.205,2.839499662499246,True,淡季正常,29.136070775929767,36,穩定成長型,94.3,優選
26,2176,模擬2176,金融保險業,金融保險,金融,金融保險,False,Financials,金融,False,Financial Services,Cyclical,Financials,2176.TW,False,,2026-05-01,38505472,30031863.0,196745931,150807984.0,28.22,1.35,30.46,0.19114285714285748,False,36,30.526666666666667,3.095091095410422,True,旺季正常,29.82058024323497,36,穩定成長型,94.2,優選
