"ToolID","ToolName","FileName","Path","ToolType","Status","Risk","EntryMode"
"VIA-SUP-0001","VeritasNexusCore_FREEZE_Run","VeritasNexusCore_FREEZE_Run.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_181208\VeritasNexusCore_FREEZE_Run.log","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0002","VeritasNexusCore_FREEZE_Run","VeritasNexusCore_FREEZE_Run.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_200408\VeritasNexusCore_FREEZE_Run.log","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0003","VeritasNexusCore_FREEZE_Run","VeritasNexusCore_FREEZE_Run.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_HOTFIX_20260608_200957\VeritasNexusCore_FREEZE_Run.log","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0004","VeritasNexusCore_FREEZE_Manifest_v03","VeritasNexusCore_FREEZE_Manifest_v03.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.csv","csv","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0005","VeritasNexusCore_FREEZE_Manifest_v03","VeritasNexusCore_FREEZE_Manifest_v03.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0006","VeritasNexusCore_FREEZE_Report_v03","VeritasNexusCore_FREEZE_Report_v03.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Report_v03.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0007","VeritasNexusCore_FREEZE_ReportRecovery_v03","VeritasNexusCore_FREEZE_ReportRecovery_v03.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_ReportRecovery_v03.log","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0008","VDF_NexusCore_ModuleRegistry","VDF_NexusCore_ModuleRegistry.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.csv","csv","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0009","VDF_NexusCore_ModuleRegistry","VDF_NexusCore_ModuleRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0010","VDF_VRN_CrossLinks","VDF_VRN_CrossLinks.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_VRN_CrossLinks.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0011","Invoke-VeritasNexusCore.ps1","Invoke-VeritasNexusCore.ps1.backup_20260610_193726","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_action_runner_patch\RUN_20260610_193726\_backup\Invoke-VeritasNexusCore.ps1.backup_20260610_193726","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0012","NEXUSCORE_ACTION_RUNNER_PATCH_REPORT","NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_action_runner_patch\RUN_20260610_193726\_reports\NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.csv","csv","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0013","NEXUSCORE_ACTION_RUNNER_PATCH_REPORT","NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_action_runner_patch\RUN_20260610_193726\_reports\NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0014","NEXUSCORE_ACTION_RUNNER_PATCH_REPORT","NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_action_runner_patch\RUN_20260610_193726\_reports\NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0015","NEXUSCORE_AI_ONBOARDING","NEXUSCORE_AI_ONBOARDING.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_AI_ONBOARDING.md","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0016","NEXUSCORE_PROGRESS","NEXUSCORE_PROGRESS.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_PROGRESS.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0017","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_TOOL_MATRIX.csv","csv","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0018","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_TOOL_MATRIX.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0019","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_TOOL_MATRIX.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0020","NEXUSCORE_AI_ONBOARDING","NEXUSCORE_AI_ONBOARDING.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_AI_ONBOARDING.md","other","FOUND","LOW","NexusCoreManaged"
