id,meeting_id,ord,at_time,text,category,speaker,action,keypt,confirmed
1,1,1,00:00,今天審查 VRN Fetch v4 的 BRIDGE 整合與 ControlCenter UI。,Discussion,Tony,0,0,1
2,1,2,00:42,"MDL010 到 MDL014 已全部接上 BRIDGE,測試 21/21 PASS。",Decision,VRN Maintainer,0,1,1
3,1,3,01:30,"我們決定 M01 維持 PDF 流程,TIFF 不再保留 fallback。",Decision,Tony,0,1,1
4,1,4,02:15,ControlCenter 的即時狀態燈號需要補上 error 重試計數。,Action,Reviewer,1,0,0
5,1,5,03:05,風險:numpy 2.0 若洩漏進 vpl_core 會破壞相依。,Risk,Tony,0,1,1
6,1,6,03:48,下週前要完成 ControlCenter 重試計數並補單元測試。,Action,VRN Maintainer,1,0,0
7,1,7,04:30,討論是否把 Fetch 重試上限做成可設定參數。,Discussion,Reviewer,0,0,1
8,1,8,05:12,"決議:重試上限預設 3,可由設定檔覆寫。",Decision,Tony,0,1,1
9,1,9,05:55,Action:Reviewer 補寫 ControlCenter 的 e2e 測試腳本。,Action,Reviewer,1,0,0
10,1,10,06:40,風險:Google API 配額在大量同步時可能受限。,Risk,VRN Maintainer,0,0,0
