"Flow","Language","Rank","Library","Use","InstallMode","Risk"
"File Registry / Dedupe","PowerShell","1","PSScriptAnalyzer","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","PowerShell","2","Pester","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","PowerShell","3","ImportExcel","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","PowerShell","4","PSWriteHTML","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","PowerShell","5","ThreadJob","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","PowerShell","6","powershell-yaml","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","PowerShell","7","platyPS","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","PowerShell","8","PSFramework","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","PowerShell","9","Pode","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","PowerShell","10","BurntToast","AST、測試、CSV/HTML、任務並行、治理報告","PSGalleryCurrentUser","LOW"
"File Registry / Dedupe","Python","1","pandas","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"File Registry / Dedupe","Python","2","polars","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"File Registry / Dedupe","Python","3","pyarrow","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"File Registry / Dedupe","Python","4","duckdb","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"File Registry / Dedupe","Python","5","orjson","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"File Registry / Dedupe","Python","6","ujson","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"File Registry / Dedupe","Python","7","xxhash","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"File Registry / Dedupe","Python","8","imagehash","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"File Registry / Dedupe","Python","9","Pillow","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"File Registry / Dedupe","Python","10","send2trash","資料 registry、hash、圖片分類、可逆刪除","VenvPip","LOW"
"HTML UI Report","JavaScript","1","Tabulator","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"HTML UI Report","JavaScript","2","DataTables","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"HTML UI Report","JavaScript","3","GridStack.js","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"HTML UI Report","JavaScript","4","SortableJS","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"HTML UI Report","JavaScript","5","Interact.js","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"HTML UI Report","JavaScript","6","Fuse.js","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"HTML UI Report","JavaScript","7","Floating UI","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"HTML UI Report","JavaScript","8","Masonry","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"HTML UI Report","JavaScript","9","Isotope","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"HTML UI Report","JavaScript","10","Prism.js","矩陣報告、方格、拖曳、搜尋、篩選","NpmLocal","LOW"
"Visual Template / Chart","JavaScript","1","Plotly.js","圖表、流程、視覺模板預覽","NpmLocal","LOW"
"Visual Template / Chart","JavaScript","2","Apache ECharts","圖表、流程、視覺模板預覽","NpmLocal","LOW"
