"SourcePath","SourceRelativePath","SourceSha256","TargetPath","TargetSha256","Action","VerifyStatus","Role","SizeBytes"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\BACKUP\PATH_BACKUP_RUN_20260609_051117.json","BACKUP\PATH_BACKUP_RUN_20260609_051117.json","6AFAECF160BD3EDBA567926EE31852FA05E20E191B58291256195EF55F385495","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VHB\BACKUP\PATH_BACKUP_RUN_20260609_051117.json","6AFAECF160BD3EDBA567926EE31852FA05E20E191B58291256195EF55F385495","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","JSON_REGISTRY","6926"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\CONFIG\VHB_SSOT.json","CONFIG\VHB_SSOT.json","CFF4343F83E5F2B0D74E02D8155E8C21C7A35FC0CAC0D14B0D0C8DB14F58E542","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VHB\CONFIG\VHB_SSOT.json","CFF4343F83E5F2B0D74E02D8155E8C21C7A35FC0CAC0D14B0D0C8DB14F58E542","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","JSON_REGISTRY","1438"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VDF_MDL501_DataModuleController.html","html_templates\VDF_MDL501_DataModuleController.html","7FD4D0599171848E3BB7616EC3E4CB42BE6A03AD5AD07D41CEF647ED08DB53EB","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL501_DataModuleController.html","7FD4D0599171848E3BB7616EC3E4CB42BE6A03AD5AD07D41CEF647ED08DB53EB","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","HTML_TEMPLATE","46875"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_ActiveETF_Console (6).html","html_templates\VIA_ActiveETF_Console (6).html","14C9213610DB7A623A794CD6B6B3F64EDE073DC3B6CC84AB9D15403633B3FEF5","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_ActiveETF_Console (6).html","14C9213610DB7A623A794CD6B6B3F64EDE073DC3B6CC84AB9D15403633B3FEF5","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","HTML_TEMPLATE","1072259"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_AutoPlot_Console.html","html_templates\VIA_AutoPlot_Console.html","24B40EBB70504E6F0EECCCF9CF102DC430E635FBAC278C0C920E1133A1E8C9FC","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_AutoPlot_Console.html","24B40EBB70504E6F0EECCCF9CF102DC430E635FBAC278C0C920E1133A1E8C9FC","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","HTML_TEMPLATE","56046"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_Macro_GDP_Identity_Console (2).html","html_templates\VIA_Macro_GDP_Identity_Console (2).html","69394DE931C353B82D433D01B11211BDF0D7F5B45DC4404F925E8421203C4E41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_Macro_GDP_Identity_Console (2).html","69394DE931C353B82D433D01B11211BDF0D7F5B45DC4404F925E8421203C4E41","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","HTML_TEMPLATE","34308"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_Main (2).html","html_templates\VIA_Main (2).html","CE07F8546F1CEDD542FF0DDE7B5936F8BEC6A882EDF4D5C122083FF0710E7CAD","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_Main (2).html","CE07F8546F1CEDD542FF0DDE7B5936F8BEC6A882EDF4D5C122083FF0710E7CAD","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","HTML_TEMPLATE","48773"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_TW_Resonance_Stock_Stack (17).html","html_templates\VIA_TW_Resonance_Stock_Stack (17).html","76516BAAE06AFFEA8F6A5E0F38B17D786B4BDF612BC202DD82179157190517DD","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_TW_Resonance_Stock_Stack (17).html","76516BAAE06AFFEA8F6A5E0F38B17D786B4BDF612BC202DD82179157190517DD","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","HTML_TEMPLATE","176303"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_US_Macro_Template (1).html","html_templates\VIA_US_Macro_Template (1).html","D14861B83400CF101DCB81BE978D8E78967457959DB579BD69D45DFEB9B5043B","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_US_Macro_Template (1).html","D14861B83400CF101DCB81BE978D8E78967457959DB579BD69D45DFEB9B5043B","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","HTML_TEMPLATE","38525"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_US_Macro_Template.html","html_templates\VIA_US_Macro_Template.html","4AAC936EC98D5890E80A7DB436087BF9D9497F70F7C7960984FAAF9556071F7D","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VHB\html_templates\VIA_US_Macro_Template.html","4AAC936EC98D5890E80A7DB436087BF9D9497F70F7C7960984FAAF9556071F7D","SKIP_ALREADY_EXISTS_IN_VAP_BY_SHA256","PASS","HTML_TEMPLATE","24362"
