"def_category","def_file","def_original_source_path","def_v0106_staged_path","def_v0108_toolbox_path","def_status","def_role","def_sha12"
"supportive","Invoke-VIA-SafePolyglotOptimizer.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-SafePolyglotOptimizer.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\supportive\Invoke-VIA-SafePolyglotOptimizer.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\supportive\Invoke-VIA-SafePolyglotOptimizer.ps1","COPIED_FROM_V0106_STAGED","STAGED","1CC6FFE64372"
"supportive","Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\supportive\Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\supportive\Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","COPIED_FROM_V0106_STAGED","STAGED","9B31DC0B6600"
"supportive","VIA_SafePolyglotOptimizer_v0102_README.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\VIA_SafePolyglotOptimizer_v0102_README.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\supportive\VIA_SafePolyglotOptimizer_v0102_README.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\supportive\VIA_SafePolyglotOptimizer_v0102_README.md","COPIED_FROM_V0106_STAGED","STAGED","5D32588C39E0"
"supportive","VIA_SafePolyglotOptimizer_v0102_StaticValidation.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\VIA_SafePolyglotOptimizer_v0102_StaticValidation.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\supportive\VIA_SafePolyglotOptimizer_v0102_StaticValidation.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\supportive\VIA_SafePolyglotOptimizer_v0102_StaticValidation.json","COPIED_FROM_V0106_STAGED","STAGED","883EA4839251"
"supportive","Read_Me_VeritasNexusCore.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\supportive\Read_Me_VeritasNexusCore.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\supportive\Read_Me_VeritasNexusCore.md","COPIED_FROM_V0106_STAGED","STAGED","E17A9D1312F6"
"supportive","Invoke-VeritasNexusCore.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\supportive\Invoke-VeritasNexusCore.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\supportive\Invoke-VeritasNexusCore.ps1","COPIED_FROM_V0106_STAGED","STAGED","F00501761EF6"
"supportive","Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\supportive\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\supportive\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","COPIED_FROM_V0106_STAGED","STAGED","265CEF36C198"
"functional","UnifiedSpec.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\UnifiedSpec.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\functional\UnifiedSpec.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\functional\UnifiedSpec.json","COPIED_FROM_V0106_STAGED","STAGED","7E4AF491C670"
"functional","Invoke-VeritasCodexNexus.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\Invoke-VeritasCodexNexus.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\functional\Invoke-VeritasCodexNexus.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\functional\Invoke-VeritasCodexNexus.ps1","COPIED_FROM_V0106_STAGED","STAGED","C55D4BBA4E39"
"functional","GovernanceRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\GovernanceRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\functional\GovernanceRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\functional\GovernanceRegistry.json","COPIED_FROM_V0106_STAGED","STAGED","EA1B75BCF3D2"
"functional","LayoutRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\LayoutRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\functional\LayoutRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\functional\LayoutRegistry.json","COPIED_FROM_V0106_STAGED","STAGED","AA5625E15DE9"
"functional","VisualRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VisualRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\functional\VisualRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\functional\VisualRegistry.json","COPIED_FROM_V0106_STAGED","STAGED","6CA548D9AC87"
"firststep","Invoke-VIA-MultiProject-PanoramaSync-AIO-v044-RiskTriageTrueProgress.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-MultiProject-PanoramaSync-AIO-v044-RiskTriageTrueProgress.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_firststep_panorama\RUN_20260622_175906_VIA_INTEGRATION_FIRSTSTEP_v0106_WORKER\_used_tools\firststep\Invoke-VIA-MultiProject-PanoramaSync-AIO-v044-RiskTriageTrueProgress.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_secondstep_closeout\RUN_20260622_180721_VIA_INTEGRATION_SECONDSTEP_CLOSEOUT_v0108\_toolbox_used\firststep\Invoke-VIA-MultiProject-PanoramaSync-AIO-v044-RiskTriageTrueProgress.ps1","COPIED_FROM_V0106_STAGED","STAGED","F013EF2A6EC8"
