"def_priority","def_lane","def_target","def_owner","def_action","def_parallel_safe"
"P0","DOMAIN_DECISION","ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","policy","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","unit","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","field","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","parsed_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schema","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","field_id","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","fields","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","tickers","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","yfinance","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","YFinanceTickerTPEX","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","YFinanceTickerTWSE","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schema_first_12_json","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","tw_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","yfinance_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","fred","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","tw_yfinance_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","unit_mn_twd","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","timezone_policy","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","HardGate","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schema_csv","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","TW_YFINANCE_REGEX","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","akshare","VDF","Review and freeze canonical owner/value","false"
