"Round","Phase","Layer","Item","Status","Risk","Class","Message","Path"
"1","Comprehensive Fix Planning","SANDBOX_INPUT","Readme","OK_COPIED","LOW","PARALLEL_FIXABLE","Copied into sandbox. Original not modified.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","SANDBOX_INPUT","NexusCore","OK_COPIED","LOW","PARALLEL_FIXABLE","Copied into sandbox. Original not modified.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","SANDBOX_INPUT","PolyglotCheckTestRepair","OK_COPIED","LOW","PARALLEL_FIXABLE","Copied into sandbox. Original not modified.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","AST","Invoke-VeritasNexusCore.ps1","OK_AST","LOW","PARALLEL_FIXABLE","Errors=0; Functions=15; ParamAtTop=True","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","AST","Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","OK_AST","LOW","PARALLEL_FIXABLE","Errors=0; Functions=15; ParamAtTop=True","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","HYDRA_RISK","Stop-Process","WARN_FORBIDDEN_PATTERN","HIGH","SEQUENCE_DEPENDENT_REVIEW","Can interrupt active coding or system tasks","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","HYDRA_RISK","Stop-Process","WARN_FORBIDDEN_PATTERN","HIGH","SEQUENCE_DEPENDENT_REVIEW","Can interrupt active coding or system tasks","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","ANCHOR","Functions","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=STRUCTURE; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","ANCHOR","def_Functions","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=STRUCTURE; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","ANCHOR","ParamBlock","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=ENTRY; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","ANCHOR","HtmlReport","FOUND","LOW","PARALLEL_FIXABLE","Category=REPORT; Count=2","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
