"type","name","found","path","status"
"command","python","True","C:\Python313\python.exe","OK_FOUND"
"command","pwsh","True","C:\Program Files\PowerShell\7\pwsh.exe","OK_FOUND"
"command","git","True","C:\Program Files\Git\cmd\git.exe","OK_FOUND"
"python_package","pandas","True","","OK_FOUND"
"python_package","pyarrow","True","","OK_FOUND"
"python_package","duckdb","True","","OK_FOUND"
"python_package","requests","True","","OK_FOUND"
"python_package","yfinance","True","","OK_FOUND"
"python_package","akshare","True","","OK_FOUND"
"python_package","fredapi","True","","OK_FOUND"
"python_package","bs4","True","","OK_FOUND"
"python_package","lxml","True","","OK_FOUND"
"python_package","openpyxl","True","","OK_FOUND"
