YFTicker,MedianTurnoverValue,TurnoverStability,PriceImpactPerDollar,LogMedianTurnover,NegativeLogPriceImpact,CapacityState,CapacityConfidence,TradingCapacityClass
5340.TWO,3426672505.5100985,5.384508071430133,2.254010622675309e-12,21.954855512246503,26.818309987511373,MID,0.9790056588553072,MID_TRADING_CAPACITY
1815.TW,2049397858.1178288,6.042594330315665,4.884137170079136e-12,21.440811859202885,26.045028474472694,MID,0.9511091456344596,MID_TRADING_CAPACITY
1802.TW,3644896628.058464,7.3981783883042125,2.517340262380112e-12,22.016593842075793,26.707818223222773,LOW,0.7086798892405802,SMALL_TRADING_CAPACITY
5475.TWO,346285922.91675174,5.670911415948682,1.8391599535408086e-11,19.662775358580355,24.719127102551607,LOW,0.9999996859674698,SMALL_TRADING_CAPACITY
1303.TW,250366218.286092,5.457653755537162,3.952427439693097e-11,19.338435277090877,23.954106091080437,LOW,0.99999999997808,SMALL_TRADING_CAPACITY
1446.TW,2026007448.6329908,5.764890601439774,4.1661534502528446e-12,21.42933291928786,26.204027939814004,MID,0.9237917064664987,MID_TRADING_CAPACITY
2383.TW,3889390374.4866037,2.4758166567357067,2.78562879742718e-12,22.08151826622524,26.606547487988113,HIGH,0.9999999858787066,LARGE_TRADING_CAPACITY
6274.TW,2537012801.710047,2.5754045071025,3.877949850397553e-12,21.654253163553996,26.275714491012863,HIGH,0.9999993848392494,LARGE_TRADING_CAPACITY
6288.TW,3672127590.3252563,5.056864938069767,2.600290907222234e-12,22.024037055921603,26.675397789766873,MID,0.9709939444554961,MID_TRADING_CAPACITY
6672.TWO,2137101949.2102704,5.104992002108516,4.566274639239299e-12,21.482716518841922,26.112323420869558,MID,0.8976794645152861,MID_TRADING_CAPACITY
3585.TWO,3104660605.5486774,6.402742404461106,3.69335371957798e-12,21.856170240576116,26.324486203551423,MID,0.9915489526633909,MID_TRADING_CAPACITY
8358.TWO,3338717746.3073483,5.421382260974168,3.1142045322710036e-12,21.928852661932154,26.495047363147986,MID,0.9836820492763552,MID_TRADING_CAPACITY
1717.TW,2831141692.576354,6.041407316108617,3.789121776302068e-12,21.763945892186236,26.29888684497807,MID,0.9864592902751357,MID_TRADING_CAPACITY
8039.TWO,1868896130.943496,2.6356779161812973,6.037063022667295e-12,21.348613789206432,25.833103476767178,HIGH,0.9999992221276345,LARGE_TRADING_CAPACITY
1711.TW,6536078336.039481,2.765742049110405,1.5405390652967854e-12,22.600603179750447,27.19888871835305,HIGH,0.9999999330411246,LARGE_TRADING_CAPACITY
5434.TW,2491656906.041832,6.131272660201657,3.2781434749698374e-12,21.636213750239754,26.443743867507447,MID,0.9392828755944275,MID_TRADING_CAPACITY
3010.TW,4301437126.307422,2.194530403387047,2.4180892771533275e-12,22.182215019228725,26.748043442517904,HIGH,0.9999999884847707,LARGE_TRADING_CAPACITY
4755.TW,3900971649.430838,5.45612248732928,1.9285426911933066e-12,22.08449149993128,26.974256480513226,MID,0.9787649577313237,MID_TRADING_CAPACITY
1773.TW,3289643229.376667,2.305432793077613,3.202624615302193e-12,21.914044954924606,26.467050450014817,HIGH,0.999999973874737,LARGE_TRADING_CAPACITY
6667.TWO,444027286.732316,2.363752303391389,2.068420605843567e-11,19.911396575112434,24.601650699230134,HIGH,0.9953169546980963,LARGE_TRADING_CAPACITY
4739.TWO,8444894333.445263,2.4275013205295592,1.316664472916209e-12,22.856827874806434,27.355919491824604,HIGH,0.999999999603919,LARGE_TRADING_CAPACITY
4721.TWO,4783957216.813677,2.3783128880366045,2.1436642149038577e-12,22.288533910581023,26.86850450116849,HIGH,0.9999999890921831,LARGE_TRADING_CAPACITY
6488.TWO,1159560425.1373591,2.631799870644644,9.195330249838125e-12,20.871306826400218,25.412325342276006,HIGH,0.9999837428365558,LARGE_TRADING_CAPACITY
6182.TWO,2381734305.909277,2.4660827697994496,4.159975937497043e-12,21.59109475921877,26.205511825927623,HIGH,0.9999995854282513,LARGE_TRADING_CAPACITY
1560.TW,8174684444.382685,2.719742975931112,1.3568810795931294e-12,22.824307952909212,27.32583237370364,HIGH,0.9999999955292742,LARGE_TRADING_CAPACITY
3583.TW,2606985726.809032,2.5232832490649044,4.94878148289145e-12,21.6814604969342,26.03187973472398,HIGH,0.9999999886911661,LARGE_TRADING_CAPACITY
1785.TWO,4061704726.438059,5.71791948360612,2.1677321134561664e-12,22.12486860579283,26.85733960388978,MID,0.9703252436666788,MID_TRADING_CAPACITY
3037.TW,7588980356.324316,2.6164052436035186,1.4283686576865e-12,22.749963078924242,27.274488121683646,HIGH,0.9999999969799658,LARGE_TRADING_CAPACITY
8046.TW,5073505679.735254,2.76555344115115,2.0548470237317425e-12,22.347297871173325,26.91081971175767,HIGH,0.9999999021932052,LARGE_TRADING_CAPACITY
3189.TW,5721597186.264093,2.441505083955727,1.9912433064775987e-12,22.46751383172898,26.9422618951597,HIGH,0.9999999988864523,LARGE_TRADING_CAPACITY
4958.TW,3312379360.379365,5.872601110215803,2.2171804000504454e-12,21.92093260808743,26.834784817359708,MID,0.968885210530119,MID_TRADING_CAPACITY
2313.TW,6101195375.366465,2.274041651325902,1.9516961022840404e-12,22.53175055210223,26.96232232536317,HIGH,0.9999999997805011,LARGE_TRADING_CAPACITY
2368.TW,2360583729.991058,6.462298676464537,3.908231765494612e-12,21.582174768616188,26.267936078108704,MID,0.9235771787971735,MID_TRADING_CAPACITY
3044.TW,1052529323.0525997,6.724421963041972,8.409351299844308e-12,20.774461983515234,25.501676779301068,LOW,0.8935597508829698,SMALL_TRADING_CAPACITY
2367.TW,2975683887.489793,7.13512027580233,3.4972681033817533e-12,21.8137397276739,26.379038994105535,MID,0.8793068488815308,MID_TRADING_CAPACITY
5469.TW,3679877935.210218,5.277927508059241,2.4197039290679e-12,22.026145418797288,26.747375926604885,MID,0.9749092466096742,MID_TRADING_CAPACITY
3715.TWO,2120770767.9321198,6.1382329789798495,3.5844411033764675e-12,21.475045429334156,26.35441855267018,MID,0.9120788803357547,MID_TRADING_CAPACITY
2355.TW,3448500669.630727,6.0902687659520485,2.4550839631291847e-12,21.96120538501589,26.732860154399617,MID,0.9551281914530638,MID_TRADING_CAPACITY
6269.TW,5338018145.950964,2.7805503969095846,2.2017386765896855e-12,22.398120287314303,26.841773760152076,HIGH,0.9999999798156171,LARGE_TRADING_CAPACITY
6153.TWO,3716731609.254222,2.3913965164154374,2.8237564362874805e-12,22.036110519373715,26.59295304779066,HIGH,0.9999999799332082,LARGE_TRADING_CAPACITY
3390.TWO,8846477844.569637,2.5389362647287723,1.185196558530076e-12,22.903285233085285,27.461112482919443,HIGH,0.9999999981431076,LARGE_TRADING_CAPACITY
