rank,group,level,n_subgroups,is_cyclical,atypical,members,covered,group_score,agg_cum_yoy,agg_yoy,median_cum_yoy,median_yoy,breadth_pos,n_pref,n_warn,n_accel,n_leaders,leader_names,leader_score,leader_confirm,verdict
1,ABF 載板,group,1,False,False,4,4,70.9,18.6,19.8,21.6,20.0,100.0,4,0,2,1,欣興,81.2,True,族群加速
2,AI 機殼/機櫃,group,1,False,False,4,4,70.6,18.5,20.4,16.9,25.6,75.0,2,1,3,1,勤誠,81.5,True,族群加速
3,網通設備,group,1,False,False,4,4,66.4,11.9,8.7,12.9,13.4,75.0,3,0,4,1,智邦,64.3,False,族群加速
4,散熱,group,1,False,False,8,8,65.8,19.4,18.4,16.8,19.4,88.0,6,1,2,2,雙鴻、奇鋐,66.5,True,族群加速
5,金融,group,1,False,True,4,4,63.2,12.8,43.9,25.9,26.5,100.0,1,1,1,1,富邦金,54.4,False,族群加速
6,IC設計,group,1,False,False,5,5,63.1,23.0,22.5,18.3,17.9,100.0,3,0,2,2,聯詠、聯發科,81.7,True,族群加速
7,半導體通路/代理,group,1,False,False,3,3,62.6,17.5,21.0,7.5,15.0,100.0,1,0,2,1,崇越,76.1,True,族群加速
8,低軌衛星,group,1,False,False,4,4,62.0,21.6,7.5,19.9,8.6,75.0,2,1,1,1,昇達科,60.3,False,族群加速
9,太陽能,group,1,False,False,11,11,61.7,21.3,25.3,22.5,23.5,91.0,6,0,6,2,茂迪、聯合再生,73.4,True,族群加速
10,觀光餐飲,group,1,False,False,5,5,60.9,6.1,-3.2,14.6,8.5,60.0,2,1,2,2,雄獅、王品,66.5,True,分歧/中性
11,BBU 備援電池,group,1,False,False,4,4,59.7,37.3,47.7,14.9,26.5,100.0,1,0,2,1,新盛力,37.3,False,族群加速
12,CDMO,group,1,False,False,11,11,58.8,6.5,1.5,9.9,9.7,73.0,5,3,8,1,保瑞,88.2,True,分歧/中性
13,矽智財 IP,group,1,False,False,3,3,57.8,7.5,9.1,13.4,10.0,100.0,2,1,1,1,力旺,68.3,True,分歧/中性
14,AI OEM/ODM,group,1,False,False,6,6,57.5,10.1,7.5,17.5,13.0,83.0,4,1,2,2,鴻海、廣達,76.0,True,族群加速
15,資安/系統整合,group,1,False,False,4,4,57.0,26.6,15.7,14.7,12.4,100.0,2,0,0,1,安碁資訊,61.0,True,族群加速
16,ADAS車用電子,group,1,False,False,21,21,55.5,9.3,9.5,10.7,9.9,76.0,8,5,10,2,同致、為升,65.3,True,分歧/中性
17,航空,group,1,False,False,3,3,54.3,2.0,-3.4,9.8,7.6,67.0,1,1,2,1,長榮航,54.3,True,分歧/中性
18,第三代半導體,group,1,False,False,11,11,54.3,10.0,4.9,10.1,-3.6,45.0,3,3,6,2,漢磊、穩懋,64.0,True,分歧/中性
19,充電樁,group,1,False,False,8,8,53.8,16.4,15.5,8.6,11.6,88.0,2,1,3,1,台達電,29.0,False,族群加速
20,台積電擴廠,group,1,False,False,6,6,53.1,18.8,15.7,13.3,12.3,83.0,3,2,2,2,帆宣、漢唐,74.5,True,族群加速
21,機器人,group,1,False,False,6,6,52.8,12.0,15.1,11.2,17.8,83.0,1,1,1,2,上銀、亞德客-KY,70.2,True,族群加速
22,ASIC 設計服務,group,1,False,False,4,4,52.3,19.2,1.4,24.4,-5.1,25.0,1,2,1,2,世芯-KY、創意,55.2,True,族群轉弱
23,封測 OSAT,group,1,False,False,7,7,52.0,15.0,8.3,12.6,1.3,71.0,2,2,2,1,日月光投控,65.1,True,族群加速
24,電源管理,group,1,False,False,4,4,51.0,17.0,24.1,12.5,24.5,100.0,2,0,2,1,台達電,29.0,False,族群加速
25,記憶體,group,1,False,False,5,5,50.4,9.5,19.3,8.8,10.4,80.0,2,1,3,1,南亞科,61.6,True,分歧/中性
26,離岸風電,group,1,False,False,16,16,49.2,17.2,18.5,14.0,14.5,81.0,7,5,7,2,世紀鋼、上緯投控,91.1,True,族群加速
27,液冷/水冷板,group,1,False,False,4,4,46.6,15.5,18.3,10.7,19.4,100.0,2,0,1,1,健策,38.0,False,族群加速
28,CPO 共封裝光學,group,1,False,False,6,6,46.3,19.5,21.7,11.1,11.6,83.0,3,2,1,1,聯亞,96.7,True,族群加速
29,半導體材料/耗材,group,1,False,False,7,7,44.8,2.3,-0.2,13.4,-4.9,43.0,2,3,4,1,中砂,7.9,False,分歧/中性
30,生技醫療,group,1,False,False,5,5,44.0,-0.5,-11.1,4.8,3.6,60.0,1,2,3,2,保瑞、藥華藥,67.2,True,族群轉弱
31,電動車,group,1,False,False,4,4,43.4,5.8,7.7,5.8,12.4,75.0,1,1,3,1,貿聯-KY,34.2,False,分歧/中性
32,AI 導軌/滑軌,group,1,False,False,3,3,41.8,13.3,17.6,11.2,17.0,67.0,1,1,1,1,川湖,72.7,True,族群加速
33,半導體設備,group,1,False,False,5,5,40.3,10.4,-10.3,7.0,1.1,60.0,1,1,4,2,致茂、家登,36.6,False,族群加速
34,測試介面/探針卡,group,1,False,False,3,3,38.7,11.4,-10.9,9.6,0.0,33.0,1,1,1,2,旺矽、穎崴,25.1,False,族群轉弱
35,CoWoS,group,1,False,False,15,14,37.8,0.9,-14.0,7.7,-1.9,36.0,4,5,4,1,日月光投控,65.1,True,族群轉弱
36,光學,group,1,False,False,4,4,36.0,-8.0,25.1,4.6,8.8,100.0,1,1,2,1,大立光,39.1,True,族群轉弱
37,重電,group,1,False,False,6,6,33.0,21.0,25.6,7.1,9.7,83.0,2,2,1,1,華城,91.6,True,族群加速
38,矽晶圓,group,1,False,False,6,6,31.4,-2.6,-14.2,6.8,-13.5,17.0,1,3,2,1,環球晶,33.6,True,族群轉弱
39,被動元件,group,1,False,False,4,4,30.3,-0.3,2.3,-3.2,11.2,75.0,1,2,3,1,國巨,76.4,True,族群轉弱
40,PCB,group,1,False,False,5,5,29.5,3.0,15.6,5.9,6.5,60.0,1,2,2,2,台光電、臻鼎-KY,58.0,True,分歧/中性
41,軍工航太,group,1,False,False,4,4,26.2,7.2,7.7,4.3,4.9,50.0,1,3,2,1,漢翔,82.8,True,分歧/中性
42,晶圓代工,group,1,False,False,4,4,25.1,6.4,7.3,6.2,4.8,75.0,0,1,0,1,台積電,26.1,True,分歧/中性
43,條鋼,group,1,True,False,4,4,,50.6,21.7,55.6,15.1,50.0,0,0,1,1,豐興,,,週期(改看價格/庫存)
44,鋼鐵,group,1,True,False,6,6,,20.0,-18.6,58.6,-26.2,33.0,0,0,1,1,中鋼,,,週期(改看價格/庫存)
45,貨櫃航運,group,1,True,False,3,3,,-8.1,-0.5,-55.8,-51.9,33.0,0,0,3,1,長榮,,,週期(改看價格/庫存)
46,散裝航運,group,1,True,False,7,7,,-1.8,-21.8,-40.0,-47.2,43.0,0,0,2,1,慧洋-KY,,,週期(改看價格/庫存)
