stock_id,name,parent,group,role,market,source,status,flag
2317,鴻海,AI 伺服器,AI OEM/ODM,L,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
2382,廣達,AI 伺服器,AI OEM/ODM,L,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
3231,緯創,AI 伺服器,AI OEM/ODM,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
6669,緯穎,AI 伺服器,AI OEM/ODM,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
2356,英業達,AI 伺服器,AI OEM/ODM,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
2376,技嘉,AI 伺服器,AI OEM/ODM,G,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
2317,鴻海,AI 伺服器,AI 伺服器,L,上市,VIA v1.1,superseded,已細分→AI OEM/ODM + AI 機殼/機櫃
2382,廣達,AI 伺服器,AI 伺服器,P,上市,VIA v1.1,superseded,已細分→AI OEM/ODM + AI 機殼/機櫃
3231,緯創,AI 伺服器,AI 伺服器,P,上市,VIA v1.1,superseded,已細分→AI OEM/ODM + AI 機殼/機櫃
6669,緯穎,AI 伺服器,AI 伺服器,L,上市,VIA v1.1,superseded,已細分→AI OEM/ODM + AI 機殼/機櫃
2376,技嘉,AI 伺服器,AI 伺服器,G,上市,VIA v1.1,superseded,已細分→AI OEM/ODM + AI 機殼/機櫃
2356,英業達,AI 伺服器,AI 伺服器,P,上市,VIA v1.1,superseded,已細分→AI OEM/ODM + AI 機殼/機櫃
8210,勤誠,AI 伺服器,AI 伺服器,P,上市,VIA v1.1,superseded,已細分→AI OEM/ODM + AI 機殼/機櫃
2059,川湖,AI 伺服器,AI 導軌/滑軌,L,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
6584,南俊國際,AI 伺服器,AI 導軌/滑軌,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
6805,富世達,AI 伺服器,AI 導軌/滑軌,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
8210,勤誠,AI 伺服器,AI 機殼/機櫃,L,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
3693,營邦,AI 伺服器,AI 機殼/機櫃,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
