def_engine_file,def_path,def_project,def_file_role,def_ext,def_sha12,def_engine_param_count,def_total_param_count,def_engine_keys_preview
VPF_MDL006_個股訊號 (2).py,C:\Users\tonyk\Downloads\VPF_MDL006_個股訊號 (2).py,VPF,ENGINE_MODULE,.py,324e8a0bb23c,24,56,class.M00_FlowLoader; function.__init__; class.M01_ThemeJoin; function.__init__; class.M02_StreakCalc; function.__init__; class.M03_Signals; function.__init__; class.M04_ScoreAggregator; function.__init__; class.M05_SignalStore; function.__init__; class.M06_AegisSelfTest; function.__init__; class.M07_DashboardRenderer; function.__init__; function._render_latest; function.net_td; function._render_recent; function.net_td
Veritas_EngineForge_Methodology_v2.docx,C:\Users\tonyk\Downloads\Veritas_EngineForge_Methodology_v2.docx,VEF,ENGINE_MODULE,.docx,b2f19e91e95a,0,93,
VEF.docx,C:\Users\tonyk\Downloads\VEF.docx,VEF,METHODOLOGY,.docx,7174ea59cd6e,10,128,P1; Engines; The system must avoid Hydra Risk; Round 2; P0; Layer 3; Layer 4; v0.6.0 最強第一模組; You said; 一個提醒
VIA_EngineForge_Config.v062.template.json,C:\Users\tonyk\Downloads\VIA_EngineForge_Config.v062.template.json,VEF,CONFIG_TEMPLATE,.json,1c19f1b288ad,2,32,schema; build_engine_stubs
VIA_EngineForge_Config.template.json,C:\Users\tonyk\Downloads\VIA_EngineForge_Config.template.json,VEF,CONFIG_TEMPLATE,.json,b14ba6667bae,2,28,schema; build_engine_stubs
vhs_extract.js,C:\Users\tonyk\Downloads\vhs_extract.js,VHS,SOURCE,.js,2ee2ddf2d0b9,12,18,function.$; function.el; function.normColor; function.rgbToHex; function.load; function.boot; function.renderMeta; function.renderTabs; function.matchFilter; function.renderActive; function.liveExtract; function.wireToolbar
e2e_usertest.js,C:\Users\tonyk\Downloads\e2e_usertest.js,UNKNOWN,TEST_VALIDATION,.js,b875b37f26a9,1,3,function.send
ps_lint.py,C:\Users\tonyk\Downloads\ps_lint.py,UNKNOWN,TEST_VALIDATION,.py,00a3c7cd9b88,4,6,function.analyze; function.strip_for_brackets; function.strip_comment; function._count
ui_harness.js,C:\Users\tonyk\Downloads\ui_harness.js,UNKNOWN,UI_VISUAL,.js,b2694eed4ae5,5,6,function.ok; function.makeEl; function.el; function.fetch; function.requestAnimationFrame
VDF_MDL404_CoverageReport.json,C:\Users\tonyk\Downloads\VDF_MDL404_CoverageReport.json,VDF,ENGINE_MODULE,.json,e91121cf5ee2,7,288,meta.source_modules[0]; meta.source_modules[2]; meta.source_modules[4]; full_inventory.TW_Universe_dynamic.source; gap_recommendations.high_priority[3]; next_steps.step_2; next_steps.step_5
