"def_category","def_file_name","def_path","def_exists","def_size_bytes","def_modified_time","def_sha12","def_status"
"MASTER_SCRIPT","Invoke-VIA-MultiProject-PanoramaSync-AIO-v044-RiskTriageTrueProgress.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-MultiProject-PanoramaSync-AIO-v044-RiskTriageTrueProgress.ps1","True","86137","2026-06-17T02:31:17","f013ef2a6ec8","OK"
"MASTER_SCRIPT","Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe (1).ps1","C:\Users\tonyk\Downloads\Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe (1).ps1","True","93241","2026-06-17T03:32:21","41f114a5034a","OK"
"MASTER_SCRIPT","Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1","True","93241","2026-06-17T03:32:02","41f114a5034a","OK"
"MASTER_SCRIPT","Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1","True","89776","2026-06-17T03:26:22","8799ebea6ccf","OK"
"MASTER_SCRIPT","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-UltimateEngineForge-AIO-v060.ps1","True","87955","2026-06-17T03:15:10","a3d947cf0439","OK"
"ENGINE_CONFIG","VIA_EngineForge_Config.template.json","C:\Users\tonyk\Downloads\VIA_EngineForge_Config.template.json","True","1379","2026-06-17T03:15:12","b14ba6667bae","OK"
"VISUAL_SPINE","via_three_round_safe_convergence_spine.png","C:\Users\tonyk\Downloads\via_three_round_safe_convergence_spine.png","True","334580","2026-06-17T03:21:58","e4e0eb28a977","OK"
"SUPPORTIVE_TOOL","Read_Me_VeritasNexusCore.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","True","11108","2026-06-08T20:22:08","e17a9d1312f6","OK"
"SUPPORTIVE_TOOL","Invoke-VeritasNexusCore.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","True","20693","2026-06-10T20:15:03","f00501761ef6","OK"
"SUPPORTIVE_TOOL","Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","True","49218","2026-06-11T11:55:58","265cef36c198","OK"
"SUPPORTIVE_TOOL","VIA_SafePolyglotOptimizer_v0102_StaticValidation.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\VIA_SafePolyglotOptimizer_v0102_StaticValidation.json","True","864","2026-06-18T15:35:34","883ea4839251","OK"
"SUPPORTIVE_TOOL","Invoke-VIA-SafePolyglotOptimizer.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-SafePolyglotOptimizer.ps1","True","524","2026-06-18T15:43:02","1cc6ffe64372","OK"
"SUPPORTIVE_TOOL","Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","True","55970","2026-06-18T15:35:33","9b31dc0b6600","OK"
"SUPPORTIVE_TOOL","VIA_SafePolyglotOptimizer_v0102_README.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\VIA_SafePolyglotOptimizer_v0102_README.md","True","2023","2026-06-18T15:35:33","5d32588c39e0","OK"
