"def_bridge_type","def_project","def_engine_file","def_file_role","def_engine_param_count","def_total_param_count","def_next_action","def_path","def_keys_preview"
"PARAMETER_ENGINE","VPF","VPF_MDL006_個股訊號 (2).py","ENGINE_MODULE","24","56","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VPF_MDL006_個股訊號 (2).py","class.M00_FlowLoader; function.__init__; class.M01_ThemeJoin; function.__init__; class.M02_StreakCalc; function.__init__; class.M03_Signals; function.__init__; class.M04_ScoreAggregator; function.__init__; class.M05_SignalStore; function.__init__; class.M06_AegisSelfTest; function.__init__; class.M07_DashboardRenderer; function.__init__; function._render_latest; function.net_td; function._render_recent; function.net_td"
"PARAMETER_ENGINE","VEF","Veritas_EngineForge_Methodology_v2.docx","ENGINE_MODULE","0","93","METHODOLOGY_OR_LOCK_REFERENCE","C:\Users\tonyk\Downloads\Veritas_EngineForge_Methodology_v2.docx",""
"PARAMETER_ENGINE","VEF","VEF.docx","METHODOLOGY","10","128","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VEF.docx","P1; Engines; The system must avoid Hydra Risk; Round 2; P0; Layer 3; Layer 4; v0.6.0 最強第一模組; You said; 一個提醒"
"PARAMETER_ENGINE","VEF","VIA_EngineForge_Config.v062.template.json","CONFIG_TEMPLATE","2","32","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_EngineForge_Config.v062.template.json","schema; build_engine_stubs"
"PARAMETER_ENGINE","VEF","VIA_EngineForge_Config.template.json","CONFIG_TEMPLATE","2","28","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_EngineForge_Config.template.json","schema; build_engine_stubs"
"PARAMETER_ENGINE","VHS","vhs_extract.js","SOURCE","12","18","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\vhs_extract.js","function.$; function.el; function.normColor; function.rgbToHex; function.load; function.boot; function.renderMeta; function.renderTabs; function.matchFilter; function.renderActive; function.liveExtract; function.wireToolbar"
"PARAMETER_ENGINE","UNKNOWN","e2e_usertest.js","TEST_VALIDATION","1","3","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\e2e_usertest.js","function.send"
"PARAMETER_ENGINE","UNKNOWN","ps_lint.py","TEST_VALIDATION","4","6","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\ps_lint.py","function.analyze; function.strip_for_brackets; function.strip_comment; function._count"
"PARAMETER_ENGINE","UNKNOWN","ui_harness.js","UI_VISUAL","5","6","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\ui_harness.js","function.ok; function.makeEl; function.el; function.fetch; function.requestAnimationFrame"
"PARAMETER_ENGINE","VDF","VDF_MDL404_CoverageReport.json","ENGINE_MODULE","7","288","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_MDL404_CoverageReport.json","meta.source_modules[0]; meta.source_modules[2]; meta.source_modules[4]; full_inventory.TW_Universe_dynamic.source; gap_recommendations.high_priority[3]; next_steps.step_2; next_steps.step_5"
