canonical_family,symbol,date,value,source,unit,frequency,description,route,vdf_mapping_gate,vdf_mapping_policy,vdf_target_table,vdf_seeded_at,vdf_original_row_hash,_vdf_overlap_existing,_vdf_dryrun_action,_vdf_dryrun_policy,_vdf_dryrun_at,_vdf_key_repair_gate,_vdf_key_repair_policy,_vdf_key_repair_at,_vdf_key_repair_row_hash
VDF_Global_Commodity,STEEL,2026-02-11,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,c40c2417ebcd7bbd,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,a2b6e11e1aa7164e
VDF_Global_Commodity,STEEL,2026-02-12,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,3b448f17b94509de,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,625670db1bc8ea92
VDF_Global_Commodity,STEEL,2026-02-13,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,8684c9acc94b1000,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,e2199b027af27d3a
VDF_Global_Commodity,STEEL,2026-02-14,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,09f777d25015dc7d,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,d544ee4ab8fe7f8e
VDF_Global_Commodity,STEEL,2026-02-15,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,ca18e72573fe5a0f,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,bc13b7596b871ea2
VDF_Global_Commodity,STEEL,2026-02-16,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,0dcea352e5f26e04,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,bd4dac13c5d647cb
VDF_Global_Commodity,STEEL,2026-02-17,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,5d472fb1b3e9abab,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,24daa3d7c217e3be
VDF_Global_Commodity,STEEL,2026-02-18,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,535bf7b6e3430232,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,0492d54682ef3d26
VDF_Global_Commodity,STEEL,2026-02-19,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,93ccf2874d3c432f,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,eb9e9af2a5d95d85
VDF_Global_Commodity,STEEL,2026-02-20,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,a6e5f47f15e1ee98,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1,REPAIR_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:10:05,83e326ebe8e76030
