file_name,file_path,column_name,row_count,non_blank_count,numeric_ratio,date_ratio,symbol_score,date_score,value_score,source_score,sample
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,vdf_source_function,150,150,0.0,0.0,20.0,0.0,0.0,90.0,stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,vdf_selected_category,150,150,0.0,0.0,90.0,0.0,0.0,10.0,STEEL | STEEL | STEEL | STEEL | STEEL
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,vdf_target_table,150,150,0.0,0.0,20.0,0.0,0.0,10.0,VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,vdf_symbol_hint,150,150,0.0,0.0,90.0,0.0,0.0,10.0,STEEL | STEEL | STEEL | STEEL | STEEL
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,vdf_canonical_family,150,150,0.0,0.0,20.0,0.0,0.0,10.0,VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,vdf_priority,150,150,1.0,0.0,-15.0,-35.0,90.0,10.0,P1 | P1 | P1 | P1 | P1
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,vdf_seeded_at,150,150,1.0,1.0,-65.0,150.0,0.0,10.0,2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,vdf_policy,150,150,0.0,0.0,-60.0,-32.0,-80.0,10.0,STAGING_ONLY_NO_DATABASE_WRITE | STAGING_ONLY_NO_DATABASE_WRITE | STAGING_ONLY_NO_DATABASE_WRITE | STAGING_ONLY_NO_DATABASE_WRITE | STAGING_ONLY_NO_DATABASE_WRITE
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,时间,150,120,1.0,1.0,-69.0,150.0,0.0,8.0,2026-02-11 | 2026-02-12 | 2026-02-13 | 2026-02-14 | 2026-02-15
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,排名,150,120,1.0,0.0,-19.0,-35.0,90.0,8.0,1 | 1 | 1 | 1 | 1
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,证券代码,150,120,1.0,0.0,-19.0,-35.0,90.0,8.0,00700 | 00700 | 00700 | 00700 | 00700
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,value,150,30,0.0333,0.0,2.8333,-1.1667,73.0,2.0,FEF | FCPO | RSS3 | RS | BTC
