canonical_family,symbol,date,value,source,unit,frequency,description,route,vdf_mapping_gate,vdf_mapping_policy,vdf_target_table,vdf_seeded_at,vdf_original_row_hash,_vdf_overlap_existing,_vdf_dryrun_action,_vdf_dryrun_policy,_vdf_dryrun_at
VDF_Global_Commodity,STEEL,2026-02-11,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,c40c2417ebcd7bbd,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-12,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,3b448f17b94509de,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-13,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,8684c9acc94b1000,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-14,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,09f777d25015dc7d,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-15,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,ca18e72573fe5a0f,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-16,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,0dcea352e5f26e04,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-17,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,5d472fb1b3e9abab,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-18,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,535bf7b6e3430232,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-19,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,93ccf2874d3c432f,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-20,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,a6e5f47f15e1ee98,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-21,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,5cfbb675a90114b7,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-22,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,29a946d4ec5fc967,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-23,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,5a4173ed26210734,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-24,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,ab0f0604f90466da,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-25,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,6f0de1fbd6f8e642,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-26,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,4ccc40fde45d0d50,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-27,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,c8d504cadb0d14b0,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-02-28,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,818e7385d2662293,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-03-01,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,7eadaffe5daf8a4b,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
VDF_Global_Commodity,STEEL,2026-03-02,,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,2c54d68a43122383,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05
