"Time","Round","System","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T13:51:36.208+08:00","Round0","VIA","POLICY","Read Only","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","write","false","No repair, no rerun, no source modification.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_135136"
"2026-06-15T13:51:36.209+08:00","Round0","VIA","POLICY","No Canonical Write","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","canonical","false","Inspector only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_135136"
"2026-06-15T13:51:36.210+08:00","Round0","VIA","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","stop_process","false","No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_135136"
"2026-06-15T13:51:36.216+08:00","Round1","NEXUS","ENTRY","Read_Me_VeritasNexusCore.md","OK_FOUND","LOW","PARALLEL_SAFE","P0","ssot_terms","true","File found and scanned for SSOT/pointer/manifest terms.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md"
"2026-06-15T13:51:36.218+08:00","Round1","NEXUS","ENTRY","Invoke-VeritasNexusCore.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P0","ssot_terms","true","File found and scanned for SSOT/pointer/manifest terms.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"2026-06-15T13:51:36.221+08:00","Round1","NEXUS","ENTRY","Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P0","ssot_terms","true","File found and scanned for SSOT/pointer/manifest terms.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"2026-06-15T13:52:24.557+08:00","Round1","VIA","DISCOVERY","SSOT/Pointer/Manifest JSON","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","325","JSON control-plane candidates found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T13:52:24.559+08:00","Round1","VIA","DISCOVERY","Active Pointer Candidates","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","95","Active/stage pointer candidates found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T13:52:24.560+08:00","Round1","VIA","DISCOVERY","Runtime Files","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","55","Runtime records found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T13:52:24.562+08:00","Round1","VIA","DISCOVERY","Seal Files","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","143","Seal/final records found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
