def_normalized_key,def_occurrences,def_distinct_values,def_groups,def_projects,def_sample_values,def_sample_files,def_severity
windows_path,9102,5623,PATH_IO,UNKNOWN;VDF;VEF;VIA;VIS,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive || C:\Users\tonyk\Downloads\Invoke-VIA-MultiProject-PanoramaSync-AIO-v044-RiskTriageTrueProgress.ps1 || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-VIA-MultiProject-PanoramaSync-AIO-v044-RiskTriageTrueProgress.ps1 || C:\Users\tonyk\Downloads\Invoke-VIA-UltimateFirstModule-AISandboxSync-AIO-v050.ps1 || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-VIA-UltimateFirstModule-AISandboxSync-AIO-v050.ps1 || C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-VIA-UltimateEngineForge-AIO-v060.ps1 || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_engine_forge\config\VIA_EngineForge_Config.json,VEF.docx; VIA_SafePolyglotOptimizer_v0102_README.md,HIGH
id,609,401,GENERAL;GOVERNANCE_POLICY;MACRO_SENTIMENT;MARKET_UNIVERSE;PATH_IO;SCHEMA_FIELD;VISUAL_LOCK,UNKNOWN;VDF;VIA;VPL,https://via.local/vdf_extraction_registry.schema.json || q || heroStatus || launcher || mgmtMod || mgmtSub || mgmtTabs || mtabink,VDF_MDL401_RegistrySchema (1).json; VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html; VIA_Main (2).html; VIA_Main.html,HIGH
import,815,195,DATA_SOURCE;ENGINE;GENERAL;PATH_IO;SCHEMA_FIELD;VERSION_RELEASE;VISUAL_LOCK,UNKNOWN;VDF;VIA;VIS;VPF;VRN,__future__ || json || html as _html_mod || datetime || pathlib || typing || numpy as np || pandas as pd,VDF_MDL004_TWFullMarketEngine (2).py; VDF_MDL007_SSOTResolver (1).py; VIF_AllInOne (6).py; VPF_MDL005_族群輪動.py; VPF_MDL006_個股訊號 (2).py; yfinance_universal_engine_v5 (2).py,HIGH
data_v,237,113,GENERAL;MACRO_SENTIMENT,VIA,month || quarter || year || l12 || single || cum || l4q || mfg,VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html; VIA_US_Macro_Template (1).html; VIA_US_Macro_Template.html,HIGH
heading_3,153,88,GENERAL;GOVERNANCE_POLICY;MARKET_UNIVERSE;PATH_IO;VERSION_RELEASE;VISUAL_LOCK,LL34;UNKNOWN;VIS;VRN,硬規則 || 四種 CSV 模板(依來源類型擇一) || Track A — 報告日驗證軌 (Report Date Verification) || Track B — 最新值即時軌 (Latest Realtime) || 支援的 22 種估值方法 (VRN_VALUATION_DICTIONARY V0595) || BAS_01. `report_date` (BasicInfo.SourceMetadata) || BAS_02. `report_code` (BasicInfo.Derived) || BAS_03. `filename` (BasicInfo.SourceMetadata),VRN_S05_FieldRegistry_v0102.md; sap_mm_intake_prompt.md,HIGH
canonical,73,73,DATA_SOURCE;GENERAL;MACRO_SENTIMENT;VISUAL_LOCK,VIA,Macquarie || Goldman Sachs || Morgan Stanley || J.P. Morgan || HuaNan || Strong Buy || Buy || Hold,VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,HIGH
heading_2,135,65,ENGINE;GENERAL;GOVERNANCE_POLICY;MARKET_UNIVERSE;PATH_IO;SCHEMA_FIELD;VERSION_RELEASE;VISUAL_LOCK,LL34;UNKNOWN;VIA;VIS;VRN,What it does || Safety policy || Recommended run || Optional child self-test || SYSTEM PROMPT(貼這段給模型) || 串接引擎 || 設計理由 || v01.01 → v01.02 變更紀錄 (Only-Add),VIA_SafePolyglotOptimizer_v0102_README.md; VRN_S05_FieldRegistry_v0102.md; sap_mm_intake_prompt.md,HIGH
name,135,64,GENERAL;GOVERNANCE_POLICY;VERSION_RELEASE;VISUAL_LOCK,UNKNOWN;VEF;VIA;VPL,viewport || theme-color || vaos:asset-id || description || vaos:family || vaos-asset-id || vaos-display || vaos-version,VIA_AutoPlot_Console (1).html; VIA_AutoPlot_Console (2).html; VIA_AutoPlot_Console (3).html; VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html; VIA_Main (2).html; VIA_Main.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,HIGH
uid,61,61,VISUAL_LOCK,VIA,VRN_FIN_0001 || VRN_FIN_0002 || VRN_FIN_0003 || VRN_FIN_0004 || VRN_FIN_0005 || VRN_FIN_0006 || VRN_FIN_0055 || VRN_FIN_0008,VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,HIGH
data_official_en,61,61,DATA_SOURCE;GENERAL;MARKET_UNIVERSE;VISUAL_LOCK,VIA,Revenue || Gross Profit || Operating Income || Operating Expense || Pretax Income || Net Income || EPS || EBITDA,VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,HIGH
