"Time","Round","Layer","Name","Status","Risk","Action","Metric","Value","Message","Path","Sha256"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","Read_Me_VeritasNexusCore.md","OK","LOW","LOCK_CANDIDATE","exists_non_empty","11108","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","e17a9d1312f6b730094c4d868156681cf7b7d49c53fa1b2226ab5c859f6b79f2"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","Invoke-VeritasNexusCore.ps1","OK","LOW","LOCK_CANDIDATE","exists_non_empty","2911","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","d8741599a121f33a31a57c372ba86aa328d74f1c9be5817aeb7682c1fffc267c"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","VDF_NexusCore_ModuleRegistry.json","OK","LOW","LOCK_CANDIDATE","exists_non_empty","9870","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","47d9a19a11091517efc576d9dd113f7f4e1b463ca7d0ca57e35490707eeda4bf"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","VDF_NexusCore_ModuleRegistry.json","OK","LOW","LOCK_CANDIDATE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","47d9a19a11091517efc576d9dd113f7f4e1b463ca7d0ca57e35490707eeda4bf"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","VDF_VRN_CrossLinks.json","OK","LOW","LOCK_CANDIDATE","exists_non_empty","27893","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_VRN_CrossLinks.json","a12c44d4b92c7b4d929e2cd3fdc3ec115afcd04b3dec1d0966afafad92c1e31a"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","VDF_VRN_CrossLinks.json","OK","LOW","LOCK_CANDIDATE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_VRN_CrossLinks.json","a12c44d4b92c7b4d929e2cd3fdc3ec115afcd04b3dec1d0966afafad92c1e31a"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","VRN_FinancialTerms_SSOT.json","OK","LOW","LOCK_CANDIDATE","exists_non_empty","16149","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_ssot\VRN_FinancialTerms_SSOT.json","a5008c4a7d4f4b5141f107ed8a72bbdebf0e505ac7e7f2299dbb1b2ce219f54f"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","VRN_FinancialTerms_SSOT.json","OK","LOW","LOCK_CANDIDATE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_ssot\VRN_FinancialTerms_SSOT.json","a5008c4a7d4f4b5141f107ed8a72bbdebf0e505ac7e7f2299dbb1b2ce219f54f"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","VRN_FinancialRegex_SSOT.json","OK","LOW","LOCK_CANDIDATE","exists_non_empty","6744","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_ssot\VRN_FinancialRegex_SSOT.json","1f3542fded8ad064f54507701b6b9e00928e55532126f1c21a8ab6c7355ef4b3"
"2026-06-09 03:41:33","Round0","CRITICAL_FREEZE_FILE","VRN_FinancialRegex_SSOT.json","OK","LOW","LOCK_CANDIDATE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_ssot\VRN_FinancialRegex_SSOT.json","1f3542fded8ad064f54507701b6b9e00928e55532126f1c21a8ab6c7355ef4b3"
