"def_sim_id","def_source_candidate_id","def_registry_type","def_normalized_key","def_owner_engine","def_domain_family","def_candidate_canonical_value","def_simulation_action","def_source_mutation","def_canonical_merge","def_db_write"
"SIM_ROW_0001","ROWPATCH_0001","SANDBOX_ROW_MAPPING_SIMULATION","ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0002","ROWPATCH_0002","SANDBOX_ROW_MAPPING_SIMULATION","policy","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0003","ROWPATCH_0003","SANDBOX_ROW_MAPPING_SIMULATION","unit","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0004","ROWPATCH_0004","SANDBOX_ROW_MAPPING_SIMULATION","field","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0005","ROWPATCH_0005","SANDBOX_ROW_MAPPING_SIMULATION","parsed_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0006","ROWPATCH_0006","SANDBOX_ROW_MAPPING_SIMULATION","schema","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0007","ROWPATCH_0007","SANDBOX_ROW_MAPPING_SIMULATION","field_id","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0008","ROWPATCH_0008","SANDBOX_ROW_MAPPING_SIMULATION","fields","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0009","ROWPATCH_0009","SANDBOX_ROW_MAPPING_SIMULATION","tickers","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0010","ROWPATCH_0010","SANDBOX_ROW_MAPPING_SIMULATION","yfinance","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
