"AssetID","FileName","FullPath","Extension","AssetType","VisualRole","SizeKB","ModifiedAt","Sha256","IsDuplicate","DuplicateGroup","Status"
"VAP_AST_000001","HTML_EMBED_000001.ico","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000001.ico",".ico","RASTER_IMAGE_OR_ICON","CHART_VISUAL_SPEC","135.04","2026-06-09 05:25:22","0313B1CE2BB248D2A5CF8D5A9FE1990836089425BC86BE92203DA55CA66422F4","True","DUP_0016","DUPLICATE_REVIEW"
"VAP_AST_000002","HTML_EMBED_000002.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000002.png",".png","RASTER_IMAGE_OR_ICON","CHART_VISUAL_SPEC","65.22","2026-06-09 05:25:22","FCA9AB32E4EBD8A8A7977BB09FFB6652C3836ECC3ECAC9A3C7B886C3DF01A84D","True","DUP_1121","DUPLICATE_REVIEW"
"VAP_AST_000003","HTML_EMBED_000003.ico","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000003.ico",".ico","RASTER_IMAGE_OR_ICON","CHART_VISUAL_SPEC","135.04","2026-06-09 05:25:22","0313B1CE2BB248D2A5CF8D5A9FE1990836089425BC86BE92203DA55CA66422F4","True","DUP_0016","DUPLICATE_REVIEW"
"VAP_AST_000004","HTML_EMBED_000004.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000004.png",".png","RASTER_IMAGE_OR_ICON","CHART_VISUAL_SPEC","65.22","2026-06-09 05:25:22","FCA9AB32E4EBD8A8A7977BB09FFB6652C3836ECC3ECAC9A3C7B886C3DF01A84D","True","DUP_1121","DUPLICATE_REVIEW"
"VAP_AST_000005","bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","0.4","2026-03-23 10:59:55","6B1C769B72B1CF03C827C7BF1EC595982E7F5263B761C5C9B5107E1BD4E70C4F","True","DUP_0491","DUPLICATE_REVIEW"
"VAP_AST_000006","fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","1.93","2026-03-23 10:59:44","77129CEFF1F45FB0253389CF683B418D9678B8AC4FE14B2F453B37D1A5AF8E76","True","DUP_0531","DUPLICATE_REVIEW"
"VAP_AST_000007","bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","0.56","2026-03-23 11:06:04","D3B299E0AA7C55BE87AEEB6EB18AC53A1D175D9CCAA826808F27E1FAD5598BCF","True","DUP_0938","DUPLICATE_REVIEW"
"VAP_AST_000008","candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","0.37","2026-03-23 11:05:10","6B2AB9F21CAF55733C0F61520812ACEBD045E8C3AB38A1F93CF65A901F53239E","True","DUP_0492","DUPLICATE_REVIEW"
"VAP_AST_000009","currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","0.23","2026-03-23 11:05:22","1C5D0843FD2E96B2C3735A945F395B6F4824BCC923DB6F94FFF8B691AF0F859C","True","DUP_0140","DUPLICATE_REVIEW"
"VAP_AST_000010","euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","0.59","2026-03-23 11:04:15","8EB3717E0FE7F2052A217179CD91EB34EBAE3480836D7CF221297405E24B406A","True","DUP_0652","DUPLICATE_REVIEW"
"VAP_AST_000011","finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","0.3","2026-03-23 11:05:16","082600677BB52BCC5504191D3150F7B7E43BE86825C90460C1B76491BAD2C289","True","DUP_0041","DUPLICATE_REVIEW"
"VAP_AST_000012","Market-Analysis-Icon__18773E283C.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__18773E283C.png",".png","RASTER_IMAGE_OR_ICON","CHART_VISUAL_SPEC","8.72","2026-06-08 21:09:01","18773E283C0D8E2C15D0F5F5E4E13CFB2FCE99D6B7E34206A6113145CC5E80FC","True","DUP_0117","DUPLICATE_REVIEW"
"VAP_AST_000013","Market-Analysis-Icon__4E0D030A21.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png",".png","RASTER_IMAGE_OR_ICON","CHART_VISUAL_SPEC","2.56","2026-06-08 21:09:02","4E0D030A2119BE0D9B90E460428B8B7CC34A0093EDB7F187DA6335FB7E48045F","True","DUP_0364","DUPLICATE_REVIEW"
"VAP_AST_000014","Market-Analysis-Icon__5186DE0127.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png",".png","RASTER_IMAGE_OR_ICON","CHART_VISUAL_SPEC","1.75","2026-06-08 21:09:01","5186DE0127DED58265153B4B1FC9BA40F2A1DB6ADEDC4EDD84E48AC66649190B","True","DUP_0384","DUPLICATE_REVIEW"
"VAP_AST_000015","Market-Analysis-Icon.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon.png",".png","RASTER_IMAGE_OR_ICON","CHART_VISUAL_SPEC","3.93","2026-06-08 21:09:01","D51A87A911491AB6F7EDA89F70CFB7D2A4437AC28046750396E2EB51616BEBFB","True","DUP_0943","DUPLICATE_REVIEW"
"VAP_AST_000016","oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","1.01","2026-03-23 10:52:07","E88C4783AC06E65B9A0A2650F99C1772E44EBEF51EA7FC1D087405FF4A742D76","True","DUP_1025","DUPLICATE_REVIEW"
"VAP_AST_000017","trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","0.25","2026-03-23 11:04:40","D6ABBCFAAAD5B607C0708B42C53ACF4C01969B981D262A15AF1DD2E0E451F00E","True","DUP_0950","DUPLICATE_REVIEW"
"VAP_AST_000018","trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","0.25","2026-03-23 10:48:28","BE7C35DC09D4714A4F7497B5A25F8F401AC023D98396EF2C8A9ECD14D1C5DB00","True","DUP_0845","DUPLICATE_REVIEW"
"VAP_AST_000019","yfinance_asset_class_matrix_(2).svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix_(2).svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","125.01","2026-03-22 22:37:14","076C4467AC22FA0FE222EEE4C25B0B8B9A95C9E3DC445C1EF24410B18BE909BC","True","DUP_0032","DUPLICATE_REVIEW"
"VAP_AST_000020","yfinance_asset_class_matrix_(3).svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix_(3).svg",".svg","SVG_ICON_OR_VECTOR","CHART_VISUAL_SPEC","162.45","2026-03-23 10:00:37","4061A7B93DBAA3E03A46E31A2B8E1110525DD25C7F46683EAA912B51ECB30CF2","True","DUP_0299","DUPLICATE_REVIEW"
