path,exists,rows,size,columns
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_FRED_Raw_GlobalMacro_SmallScope.parquet,True,1509,17592,"['symbol', 'date', 'value', 'realtime_start', 'realtime_end', 'source', 'description', 'unit', 'frequency', 'updated_at']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_Global_Commodity.parquet,True,24,4537,"['symbol', 'date', 'value', 'source', 'unit', 'frequency', 'description']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_Global_FXRate.parquet,True,10,4561,"['pair', 'date', 'open', 'high', 'low', 'close', 'source']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_Global_Freight.parquet,True,0,3389,"['symbol', 'date', 'value', 'source', 'unit', 'route', 'frequency']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_Global_Macro.parquet,True,1453,15472,"['symbol', 'date', 'value', 'source', 'unit', 'frequency', 'description']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_Global_Macro_FRED_SmallScope_Candidate.parquet,True,1452,15375,"['symbol', 'date', 'value', 'source', 'unit', 'frequency', 'description']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_MOPS_Raw_MonthlyRevenue_Listed.parquet,True,1078,148097,"['出表日期', '資料年月', '公司代號', '公司名稱', '產業別', '營業收入-當月營收', '營業收入-上月營收', '營業收入-去年當月營收', '營業收入-上月比較增減(%)', '營業收入-去年同月增減(%)', '累計營業收入-當月累計營收', '累計營業收入-去年累計營收', '累計營業收入-前期比較增減(%)', '備註']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_RiskEventCalendar.parquet,True,0,3852,"['event_id', 'date', 'ticker', 'market', 'event_type', 'title', 'source', 'risk_level']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TPEX_Raw_MainboardDailyCloseQuotes.parquet,True,10211,476597,"['Date', 'SecuritiesCompanyCode', 'CompanyName', 'Close', 'Change', 'Open', 'High', 'Low', 'Average', 'TradingShares', 'TransactionAmount', 'TransactionNumber', 'LatestBidPrice', 'LatesAskPrice', 'Capitals', 'NextReferencePrice', 'NextLimitUp', 'NextLimitDown']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TPEX_Raw_Securities.parquet,True,809,16475,"['資料日期', '證券代號', '證券名稱', '暫停現股賣出後現款買進當沖註記']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_CapitalAction.parquet,True,0,3597,"['ticker', 'date', 'action_type', 'old_capital', 'new_capital', 'shares_change', 'description']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_CompanyProfile.parquet,True,0,4339,"['ticker', 'name', 'chairman', 'general_manager', 'spokesperson', 'address', 'phone', 'website', 'industry']"
