"FileID","RelativePath","FullPath","FileName","Extension","Role","SizeBytes","SizeKB","Sha256","ModifiedAt","Status"
"VAP_FILE_000001","Invoke-VAP.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Invoke-VAP.ps1",".ps1","POWERSHELL_TOOL","2271","2.22","2337A2A2044A627213079F29E6B20EDD15CCA70998748B893B550D38E6CD853C","2026-06-09 05:49:00","OK"
"VAP_FILE_000002","ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000001.ico","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000001.ico","HTML_EMBED_000001.ico",".ico","IMAGE_OR_ICON","138282","135.04","0313B1CE2BB248D2A5CF8D5A9FE1990836089425BC86BE92203DA55CA66422F4","2026-06-09 05:25:22","OK"
"VAP_FILE_000003","ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000002.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000002.png","HTML_EMBED_000002.png",".png","IMAGE_OR_ICON","66785","65.22","FCA9AB32E4EBD8A8A7977BB09FFB6652C3836ECC3ECAC9A3C7B886C3DF01A84D","2026-06-09 05:25:22","OK"
"VAP_FILE_000004","ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000003.ico","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000003.ico","HTML_EMBED_000003.ico",".ico","IMAGE_OR_ICON","138282","135.04","0313B1CE2BB248D2A5CF8D5A9FE1990836089425BC86BE92203DA55CA66422F4","2026-06-09 05:25:22","OK"
"VAP_FILE_000005","ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000004.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000004.png","HTML_EMBED_000004.png",".png","IMAGE_OR_ICON","66785","65.22","FCA9AB32E4EBD8A8A7977BB09FFB6652C3836ECC3ECAC9A3C7B886C3DF01A84D","2026-06-09 05:25:22","OK"
"VAP_FILE_000006","ASSETS\ICONS\00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","409","0.4","6B1C769B72B1CF03C827C7BF1EC595982E7F5263B761C5C9B5107E1BD4E70C4F","2026-03-23 10:59:55","OK"
"VAP_FILE_000007","ASSETS\ICONS\00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","1979","1.93","77129CEFF1F45FB0253389CF683B418D9678B8AC4FE14B2F453B37D1A5AF8E76","2026-03-23 10:59:44","OK"
"VAP_FILE_000008","ASSETS\ICONS\01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","573","0.56","D3B299E0AA7C55BE87AEEB6EB18AC53A1D175D9CCAA826808F27E1FAD5598BCF","2026-03-23 11:06:04","OK"
"VAP_FILE_000009","ASSETS\ICONS\01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","374","0.37","6B2AB9F21CAF55733C0F61520812ACEBD045E8C3AB38A1F93CF65A901F53239E","2026-03-23 11:05:10","OK"
"VAP_FILE_000010","ASSETS\ICONS\01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","233","0.23","1C5D0843FD2E96B2C3735A945F395B6F4824BCC923DB6F94FFF8B691AF0F859C","2026-03-23 11:05:22","OK"
"VAP_FILE_000011","ASSETS\ICONS\01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","604","0.59","8EB3717E0FE7F2052A217179CD91EB34EBAE3480836D7CF221297405E24B406A","2026-03-23 11:04:15","OK"
