"ToolID","ToolName","FileName","Category","Layer","Role","Path","RelativePath","ToolType","Priority","TargetEnv","HardGateRequired","AllowDirectRun","EntryMode","Status","Risk","SizeBytes","ModifiedTime","Sha256","AIInstruction","EngineerInstruction"
"VIA-SUP-0001","VeritasNexusCore_FREEZE_Run","VeritasNexusCore_FREEZE_Run.log","_freeze_reports","L6_Report_Matrix","Report, matrix, dashboard, validation output","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_181208\VeritasNexusCore_FREEZE_Run.log","_freeze_reports\FREEZE_20260608_181208\VeritasNexusCore_FREEZE_Run.log","other","4","via_core_312","False","False","NexusCoreManaged","FOUND","LOW","468","2026-06-08 18:12:14","34DD90E87EEE4DFC06E6DB7395DCABAF6C3B8094A63D9B8F98ED5AD57D21C088","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
"VIA-SUP-0002","VeritasNexusCore_FREEZE_Run","VeritasNexusCore_FREEZE_Run.log","_freeze_reports","L6_Report_Matrix","Report, matrix, dashboard, validation output","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_200408\VeritasNexusCore_FREEZE_Run.log","_freeze_reports\FREEZE_20260608_200408\VeritasNexusCore_FREEZE_Run.log","other","4","via_core_312","False","False","NexusCoreManaged","FOUND","LOW","468","2026-06-08 20:04:16","30285B7A3622F5282A1C3355907C82BBBAD6D55ACFF6916696050BCE14ABD887","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
"VIA-SUP-0003","VeritasNexusCore_FREEZE_Run","VeritasNexusCore_FREEZE_Run.log","_freeze_reports","L6_Report_Matrix","Report, matrix, dashboard, validation output","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_HOTFIX_20260608_200957\VeritasNexusCore_FREEZE_Run.log","_freeze_reports\FREEZE_HOTFIX_20260608_200957\VeritasNexusCore_FREEZE_Run.log","other","4","via_core_312","False","False","NexusCoreManaged","FOUND","LOW","7003","2026-06-08 20:10:16","0002434E09E5C443C7F14F5348A5A8AA00F3CAE2CF945E15231AC016E26C9B85","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
"VIA-SUP-0004","VeritasNexusCore_FREEZE_Manifest_v03","VeritasNexusCore_FREEZE_Manifest_v03.csv","_freeze_reports","L6_Report_Matrix","Report, matrix, dashboard, validation output","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.csv","_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.csv","csv","4","document/report","False","False","NexusCoreManaged","FOUND","LOW","26546","2026-06-08 20:15:46","6C463E94FC1C0D7DA5F8F0A611E497B0A731BE22C36BBA929B3BA0B0465496D7","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
"VIA-SUP-0005","VeritasNexusCore_FREEZE_Manifest_v03","VeritasNexusCore_FREEZE_Manifest_v03.json","_freeze_reports","L6_Report_Matrix","Report, matrix, dashboard, validation output","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.json","_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.json","json","4","document/report","False","False","NexusCoreManaged","FOUND","LOW","39345","2026-06-08 20:15:46","888F89CD8A32ED19633A90C56C2C42457B1BBEA74E3ECDB4F81405091E6CA2E3","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
"VIA-SUP-0006","VeritasNexusCore_FREEZE_Report_v03","VeritasNexusCore_FREEZE_Report_v03.html","_freeze_reports","L6_Report_Matrix","Report, matrix, dashboard, validation output","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Report_v03.html","_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Report_v03.html","html","4","document/report","False","False","NexusCoreManaged","FOUND","LOW","37060","2026-06-08 20:15:46","3DC14374296BA3C4484A0C635629F904D991D8E513C53F02EB6EFBD971DAE7BE","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
"VIA-SUP-0007","VeritasNexusCore_FREEZE_ReportRecovery_v03","VeritasNexusCore_FREEZE_ReportRecovery_v03.log","_freeze_reports","L6_Report_Matrix","Report, matrix, dashboard, validation output","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_ReportRecovery_v03.log","_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_ReportRecovery_v03.log","other","4","via_core_312","False","False","NexusCoreManaged","FOUND","LOW","2335","2026-06-08 20:15:46","19574E8328497695DAA5612C48257254B54633E9D0A475AA14BEAB4F6360A893","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
"VIA-SUP-0008","VDF_NexusCore_ModuleRegistry","VDF_NexusCore_ModuleRegistry.csv","_nexus_registry","L2_SSOT_Registry","Registry or canonical tool data","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.csv","_nexus_registry\VDF_NexusCore_ModuleRegistry.csv","csv","1","document/report","False","False","NexusCoreManaged","FOUND","LOW","5568","2026-06-09 03:22:00","08BA97F8621B11A30BB04411CAD4D0C8238369137577E954170179F6F5ADDF35","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
"VIA-SUP-0009","VDF_NexusCore_ModuleRegistry","VDF_NexusCore_ModuleRegistry.json","_nexus_registry","L2_SSOT_Registry","Registry or canonical tool data","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","_nexus_registry\VDF_NexusCore_ModuleRegistry.json","json","1","document/report","False","False","NexusCoreManaged","FOUND","LOW","9870","2026-06-09 03:22:00","47D9A19A11091517EFC576D9DD113F7F4E1B463CA7D0CA57E35490707EEDA4BF","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
"VIA-SUP-0010","VDF_VRN_CrossLinks","VDF_VRN_CrossLinks.json","_nexus_registry","L2_SSOT_Registry","Registry or canonical tool data","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_VRN_CrossLinks.json","_nexus_registry\VDF_VRN_CrossLinks.json","json","1","document/report","False","False","NexusCoreManaged","FOUND","LOW","27893","2026-06-09 03:22:00","A12C44D4B92C7B4D929E2CD3FDC3EC115AFCD04B3DEC1D0966AFAFAD92C1E31A","Do not call directly. Route through NexusCore.","Register and expose in matrix/report."
