"ModuleNo","ModuleId","Name","Role","Phase","SourcePath","TargetPath","Extension","SizeBytes","Sha256","Status","Risk"
"1","VRN_MDL001","VRN_MDL001_VRN_CANONICAL_ACTIVE_SEAL_PREVIEW__GOVERNANCE__v0_0.json","GOVERNANCE","MDL001_TO_MDL003_DATASET_1","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL001_VRN_CANONICAL_ACTIVE_SEAL_PREVIEW__GOVERNANCE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL001_VRN_CANONICAL_ACTIVE_SEAL_PREVIEW__GOVERNANCE__v0_0.json",".json","484659","6091bf7d501365a0469c6606a0b089750c7b9159731d0334fe6783a606596233","OK","LOW"
"2","VRN_MDL002","VRN_MDL002_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json","MODULE","MDL001_TO_MDL003_DATASET_1","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL002_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL002_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json",".json","408007","34962ad5edefb769dbcaa3e3ee0383607e7fc946ef8b1a4e42c76893f7ad1dc3","OK","LOW"
"3","VRN_MDL003","VRN_MDL003_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json","MODULE","MDL001_TO_MDL003_DATASET_1","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL003_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL003_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json",".json","406781","0d4a16553bea2d5e01a548dbac9c26ebbe77d7de176a02418d293e959fd156df","OK","LOW"
"4","VRN_MDL004","VRN_MDL004_VRN_v139Q_Final_Yellow_Fix_Matrix__MODULE__v139Q.json","MODULE","MDL001_TO_MDL006_DATASET_2","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL004_VRN_v139Q_Final_Yellow_Fix_Matrix__MODULE__v139Q.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL004_VRN_v139Q_Final_Yellow_Fix_Matrix__MODULE__v139Q.json",".json","13201","db441d00c1ce808efe245d4abcebdefc93d6a0fc3cb9852a538309d46a07ae1b","OK","LOW"
"5","VRN_MDL005","VRN_MDL005_VRN_v139P_PostBridge_Rescore_Matrix__MODULE__v139P.json","MODULE","MDL001_TO_MDL006_DATASET_2","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL005_VRN_v139P_PostBridge_Rescore_Matrix__MODULE__v139P.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL005_VRN_v139P_PostBridge_Rescore_Matrix__MODULE__v139P.json",".json","33209","1dfeb76150340f11b688678a342c44908b347048db169e9165b0d0044cfc5b94","OK","LOW"
"6","VRN_MDL006","VRN_MDL006_VRN_v141D6C_Source_Hygiene_NoHang__BRIDGE__v141D6C.json","BRIDGE","MDL001_TO_MDL006_DATASET_2","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL006_VRN_v141D6C_Source_Hygiene_NoHang__BRIDGE__v141D6C.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL006_VRN_v141D6C_Source_Hygiene_NoHang__BRIDGE__v141D6C.json",".json","8772385","23d34131fbe8831d9b5d76494d02d70f5938deb45bab25595baceb9a2caecf0b","OK","LOW"
"7","VRN_MDL007","VRN_MDL007_VRN_v139L_FileHash_Cache__MODULE__v139L.json","MODULE","MDL007_TO_MDL008_CONTINUOUS_VALIDATION","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL007_VRN_v139L_FileHash_Cache__MODULE__v139L.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL007_VRN_v139L_FileHash_Cache__MODULE__v139L.json",".json","67219","e1b8ce7f04c534972c985d3b64fb22064e127738ccf304049717e817c7213cc1","OK","LOW"
"8","VRN_MDL008","VRN_MDL008_VRN_v139L_FileHash_Cache__MODULE__v139L.json","MODULE","MDL007_TO_MDL008_CONTINUOUS_VALIDATION","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL008_VRN_v139L_FileHash_Cache__MODULE__v139L.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL008_VRN_v139L_FileHash_Cache__MODULE__v139L.json",".json","66983","61d5be892980817a3e9900767c40ada01106ed9a0bdba1c8973c59f8e306952f","OK","LOW"
"9","VRN_MDL009","VRN_MDL009_VRN_Consensus_CanonicalAlias_LightUI_Fix__SUPPORT_RULE__v0_0.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL009_VRN_Consensus_CanonicalAlias_LightUI_Fix__SUPPORT_RULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL009_VRN_Consensus_CanonicalAlias_LightUI_Fix__SUPPORT_RULE__v0_0.json",".json","18247","ead297d28ab083c2ac7126fb0d95033fc6f6202370d8523900a2bd48e17d29a8","OK","LOW"
"10","VRN_MDL010","VRN_MDL010_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL010_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL010_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json",".json","22002647","47606d03d37084878e4ac94a96682e01bba0ac212dc0c5f0b85a03fb2ce1ff23","OK","LOW"
"11","VRN_MDL011","VRN_MDL011_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL011_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL011_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json",".json","21995434","cae1ef0945788a2ac480f624db2a8dcd3f7729a2db8bc7c4906fee32e7ec7069","OK","LOW"
"12","VRN_MDL012","VRN_MDL012_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL012_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL012_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json",".json","21988222","18471cd3c1fbdb0683d1590da42a963ade4afd2b551fe8822319b9c7f6e4b7ce","OK","LOW"
