file_id,file_name,file_path,file_size,page_count,pages_extracted,text_chars,has_text_layer,ocr_required,elapsed_sec,status
144913c917d9,20250819兆豐個股報告-泓德能源(6873).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20250819兆豐個股報告-泓德能源(6873).pdf,698089,8,8,11754,True,False,0.2509,OK_EXTRACTED
e337b0a2e05d,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,1572918,13,13,17447,True,False,0.3146,OK_EXTRACTED
fc9e9d1ffdf9,20251128兆豐訪談速報-神達(3706).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251128兆豐訪談速報-神達(3706).pdf,397184,5,5,8087,True,False,0.6643,OK_EXTRACTED
dc367a89b6fb,20260519兆豐個股報告-望隼(4771).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20260519兆豐個股報告-望隼(4771).pdf,818339,9,9,12111,True,False,0.8936,OK_EXTRACTED
482e52f26cf4,6933_AMAX-KY_個股介紹報告.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\6933_AMAX-KY_個股介紹報告.pdf,1109127,9,9,12127,True,False,0.8419,OK_EXTRACTED
8578b17590da,凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf,1030556,10,10,21113,True,False,0.694,OK_EXTRACTED
a647dd1af7a3,20251204兆豐個股報告-志強-KY(6768).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251204兆豐個股報告-志強-KY(6768).pdf,608844,7,7,11126,True,False,1.0059,OK_EXTRACTED
b94683a9c9e6,3014TT-20231005.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\3014TT-20231005.pdf,1129733,9,9,15119,True,False,0.8743,OK_EXTRACTED
2ffbf03c7485,凱基投顧_6147 頎邦_劉宇程_20260519.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_6147 頎邦_劉宇程_20260519.pdf,667687,6,6,15642,True,False,0.7413,OK_EXTRACTED
9db99ee86da3,第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf,3762097,57,57,33624,True,False,0.9382,OK_EXTRACTED
aaf37d8b44ad,凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf,634863,8,8,20319,True,False,0.3457,OK_EXTRACTED
513089807e2e,凱基投顧_2891 中信金_施志鴻_20260519.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_2891 中信金_施志鴻_20260519.pdf,747972,13,13,25982,True,False,0.602,OK_EXTRACTED
d04a4946c88f,Daiwa-1319 20231011.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-1319 20231011.pdf,931065,5,5,17228,True,False,0.4464,OK_EXTRACTED
a9762ff02efe,"瑞基(4171,NR_未評等)-CTBC251208.pdf","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\瑞基(4171,NR_未評等)-CTBC251208.pdf",729214,8,8,2975,True,False,0.491,OK_EXTRACTED
bec2e8821841,華南投顧-2606-裕民-1141202.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-2606-裕民-1141202.pdf,1080042,8,8,8168,True,False,0.5776,OK_EXTRACTED
7f6338fb959d,華南投顧-3017-奇鋐-1141202.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-3017-奇鋐-1141202.pdf,1048912,8,8,10387,True,False,0.5106,OK_EXTRACTED
e6270450a0cb,"晶心科(6533,N,中立)-CTBC251208.pdf","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\晶心科(6533,N,中立)-CTBC251208.pdf",1496311,15,15,8542,True,False,0.6254,OK_EXTRACTED
0e3a7ffea317,Citi-3231 20250604.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Citi-3231 20250604.pdf,677991,13,13,53169,True,False,0.511,OK_EXTRACTED
cd1804f88763,華南投顧-2637-慧洋-KY-1141202.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-2637-慧洋-KY-1141202.pdf,1122849,7,7,8050,True,False,0.7451,OK_EXTRACTED
c8bcf1de430d,GS-1590 20231012.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-1590 20231012.pdf,1001187,8,8,41827,True,False,0.3417,OK_EXTRACTED
9015d064e179,GS-3706 20251130.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-3706 20251130.pdf,685565,8,8,42449,True,False,0.4282,OK_EXTRACTED
8bc5fab0f44d,GS-1590 20251203.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-1590 20251203.pdf,508885,8,8,37367,True,False,0.5392,OK_EXTRACTED
1ce8f7a19d5b,華南投顧-6143-振曜-1141128.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-6143-振曜-1141128.pdf,1032324,8,8,9703,True,False,0.599,OK_EXTRACTED
73c0ed880dcd,Daiwa-3653 20251002.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-3653 20251002.pdf,969997,4,4,28885,True,False,0.8063,OK_EXTRACTED
002075ad1390,GS-2317 20251205.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-2317 20251205.pdf,536180,8,8,38822,True,False,0.5932,OK_EXTRACTED
