"Tag","Root","RelativePath","FullPath","FileName","Extension","SizeBytes","SizeKB","Sha256","Status"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","409","0.4","6B1C769B72B1CF03C827C7BF1EC595982E7F5263B761C5C9B5107E1BD4E70C4F","OK"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","1979","1.93","77129CEFF1F45FB0253389CF683B418D9678B8AC4FE14B2F453B37D1A5AF8E76","OK"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","573","0.56","D3B299E0AA7C55BE87AEEB6EB18AC53A1D175D9CCAA826808F27E1FAD5598BCF","OK"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","374","0.37","6B2AB9F21CAF55733C0F61520812ACEBD045E8C3AB38A1F93CF65A901F53239E","OK"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","233","0.23","1C5D0843FD2E96B2C3735A945F395B6F4824BCC923DB6F94FFF8B691AF0F859C","OK"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","604","0.59","8EB3717E0FE7F2052A217179CD91EB34EBAE3480836D7CF221297405E24B406A","OK"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","311","0.3","082600677BB52BCC5504191D3150F7B7E43BE86825C90460C1B76491BAD2C289","OK"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\01_finance_market_trading\Market-Analysis-Icon__18773E283C.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\01_finance_market_trading\Market-Analysis-Icon__18773E283C.png","Market-Analysis-Icon__18773E283C.png",".png","8931","8.72","18773E283C0D8E2C15D0F5F5E4E13CFB2FCE99D6B7E34206A6113145CC5E80FC","OK"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png","Market-Analysis-Icon__4E0D030A21.png",".png","2617","2.56","4E0D030A2119BE0D9B90E460428B8B7CC34A0093EDB7F187DA6335FB7E48045F","OK"
"ICON_BASE_BACKUP","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE","icon base\01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\BACKUP\ICON_BASE_ORIGINAL_BACKUP_RUN_20260609_092228_ICON_BASE_INTAKE_VERIFY_DELETE\icon base\01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png","Market-Analysis-Icon__5186DE0127.png",".png","1794","1.75","5186DE0127DED58265153B4B1FC9BA40F2A1DB6ADEDC4EDD84E48AC66649190B","OK"
