index_code,date,name,open,high,low,close,volume,return_1d
^TWII,"Ticker
   ",^TWII,43842.26171875,44818.25,43842.26171875,44256.80078125,10615800,
^TWII,"Ticker
   ",^TWII,44240.80078125,44954.08984375,43236.359375,43636.44140625,10946500,
^TWII,"Ticker
   ",^TWII,43815.48046875,44933.94921875,43815.48046875,44732.94140625,12618300,
^TWII,"Ticker
   ",^TWII,44872.8203125,45931.1015625,44872.8203125,45337.91015625,9887600,
^TWII,"Ticker
   ",^TWII,45388.9296875,45915.921875,44869.37890625,45557.30859375,11590000,
^TWII,"Ticker
   ",^TWII,45660.4609375,46552.16015625,45660.4609375,46459.16015625,11629900,
^TWII,"Ticker
   ",^TWII,46364.0703125,46364.0703125,45677.4609375,45677.4609375,10148400,
^TWII,"Ticker
   ",^TWII,45619.8203125,45619.8203125,44209.53125,45070.94140625,8445300,
^TWII,"Ticker
   ",^TWII,44507.48828125,44507.48828125,42376.859375,43502.78125,6465800,
^TWII,"Ticker
   ",^TWII,43687.62109375,44821.7109375,43687.62109375,44704.44140625,0,
