date,key,value
2005-01-03,GSPC,1202.0799560546875
2005-01-04,GSPC,1188.050048828125
2005-01-05,GSPC,1183.739990234375
2005-01-06,GSPC,1187.8900146484375
2005-01-07,GSPC,1186.18994140625
2005-01-08,GSPC,1186.18994140625
2005-01-10,GSPC,1190.25
2005-01-11,GSPC,1182.989990234375
2005-01-12,GSPC,1187.699951171875
2005-01-13,GSPC,1177.449951171875
2005-01-14,GSPC,1184.52001953125
2005-01-15,GSPC,1184.52001953125
2005-01-17,GSPC,1184.52001953125
2005-01-18,GSPC,1195.97998046875
2005-01-19,GSPC,1184.6300048828125
2005-01-20,GSPC,1175.4100341796875
2005-01-21,GSPC,1167.8699951171875
2005-01-22,GSPC,1167.8699951171875
2005-01-24,GSPC,1163.75
2005-01-25,GSPC,1168.4100341796875
2005-01-26,GSPC,1174.0699462890625
2005-01-27,GSPC,1174.550048828125
2005-01-28,GSPC,1171.3599853515625
2005-01-29,GSPC,1171.3599853515625
2005-01-31,GSPC,1181.27001953125
2005-02-01,GSPC,1189.4100341796875
2005-02-02,GSPC,1193.18994140625
2005-02-03,GSPC,1189.8900146484375
2005-02-04,GSPC,1203.030029296875
2005-02-05,GSPC,1203.030029296875
2005-02-07,GSPC,1201.719970703125
2005-02-08,GSPC,1202.300048828125
2005-02-09,GSPC,1191.989990234375
2005-02-10,GSPC,1197.010009765625
2005-02-11,GSPC,1205.300048828125
2005-02-12,GSPC,1205.300048828125
2005-02-14,GSPC,1206.1400146484375
2005-02-15,GSPC,1210.1199951171875
2005-02-16,GSPC,1210.3399658203125
2005-02-17,GSPC,1200.75
2005-02-18,GSPC,1201.5899658203125
2005-02-19,GSPC,1201.5899658203125
2005-02-21,GSPC,1201.5899658203125
2005-02-22,GSPC,1184.1600341796875
2005-02-23,GSPC,1190.800048828125
2005-02-24,GSPC,1200.199951171875
2005-02-25,GSPC,1211.3699951171875
2005-02-26,GSPC,1211.3699951171875
2005-02-28,GSPC,1203.5999755859375
2005-03-01,GSPC,1210.4100341796875
2005-03-02,GSPC,1210.0799560546875
2005-03-03,GSPC,1210.469970703125
