Group,Subgroup,Ticker,YFTicker,Name,Market,Dimension,CountingFlag,SourceID,EvidenceStatus
US_EQUITY,,SPY,SPY,SPDR S&P 500,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
US_EQUITY,,DIA,DIA,SPDR Dow Jones,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
US_EQUITY,,QQQ,QQQ,Invesco QQQ,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
US_EQUITY,,IWM,IWM,iShares Russell 2000,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
US_EQUITY,,ONEQ,ONEQ,Fidelity Nasdaq Composite,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
US_EQUITY,,^NDX,^NDX,NASDAQ 100 Index,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
US_EQUITY,,^RUT,^RUT,Russell 2000 Index,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
EUROPE_BROAD,,VGK,VGK,Vanguard FTSE Europe,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
EUROPE_BROAD,,FEZ,FEZ,SPDR Euro Stoxx 50,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
EUROPE_BROAD,,EZU,EZU,iShares MSCI Eurozone,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0103,DB_COVERAGE_VERIFIED
