Group,Subgroup,Ticker,YFTicker,Name,Market,Dimension,CountingFlag,SourceID,EvidenceStatus
US_EQUITY,,SPY,SPY,SPDR S&P 500,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
US_EQUITY,,DIA,DIA,SPDR Dow Jones,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
US_EQUITY,,QQQ,QQQ,Invesco QQQ,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
US_EQUITY,,IWM,IWM,iShares Russell 2000,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
US_EQUITY,,ONEQ,ONEQ,Fidelity Nasdaq Composite,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
US_EQUITY,,^NDX,^NDX,NASDAQ 100 Index,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
US_EQUITY,,^RUT,^RUT,Russell 2000 Index,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,VGK,VGK,Vanguard FTSE Europe,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,FEZ,FEZ,SPDR Euro Stoxx 50,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EZU,EZU,iShares MSCI Eurozone,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWG,EWG,iShares MSCI Germany,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWQ,EWQ,iShares MSCI France,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWU,EWU,iShares MSCI United Kingdom,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWI,EWI,iShares MSCI Italy,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWP,EWP,iShares MSCI Spain,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWL,EWL,iShares MSCI Switzerland,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,^GDAXI,^GDAXI,DAX Index,EU,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,^FCHI,^FCHI,CAC 40 Index,EU,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,^FTSE,^FTSE,FTSE 100 Index,EU,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_DEV,,EWJ,EWJ,iShares MSCI Japan,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_DEV,,EWY,EWY,iShares MSCI South Korea,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_DEV,,EWT,EWT,iShares MSCI Taiwan,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_DEV,,EWS,EWS,iShares MSCI Singapore,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_DEV,,^N225,^N225,Nikkei 225 Index,JP,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_DEV,,^KS11,^KS11,KOSPI Index,KR,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_DEV,,^TWII,^TWII,TAIEX Index,TAIWAN_INDEX,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_DEV,,^STI,^STI,Straits Times Index,SG,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,INDA,INDA,iShares MSCI India,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,EPI,EPI,WisdomTree India Earnings,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,EIDO,EIDO,iShares MSCI Indonesia,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,THD,THD,iShares MSCI Thailand,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,EWM,EWM,iShares MSCI Malaysia,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,^NSEI,^NSEI,NIFTY 50 Index,IN,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,^BSESN,^BSESN,BSE SENSEX Index,IN,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,^JKSE,^JKSE,Jakarta Composite Index,ID,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,^KLSE,^KLSE,FTSE Bursa Malaysia KLCI,MY,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
ASIA_EM,,^SET.BK,^SET.BK,SET Index Thailand,TH,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
GREATER_CHINA,,FXI,FXI,iShares China Large-Cap,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
GREATER_CHINA,,MCHI,MCHI,iShares MSCI China,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
GREATER_CHINA,,EWH,EWH,iShares MSCI Hong Kong,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
GREATER_CHINA,,^HSI,^HSI,Hang Seng Index,HK,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
GREATER_CHINA,,000001.SS,000001.SS,Shanghai Composite,CN,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
GREATER_CHINA,,399001.SZ,399001.SZ,Shenzhen Component,CN,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
COMMODITY,,GC=F,GC=F,COMEX Gold Futures,COMMODITY,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
COMMODITY,,CL=F,CL=F,NYMEX WTI Crude Futures,COMMODITY,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
COMMODITY,,BZ=F,BZ=F,ICE Brent Crude Futures,COMMODITY,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0101,DB_COVERAGE_VERIFIED
