bucket,name,extension,bytes,modified,path,sha256
Other,DecisionStudio_Registry.html,.html,971501,2026-06-09 03:59:38,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\DecisionStudio_Registry.html,8EA93AE1F41C863D5ED9FA31D73108D6A5707C81BA8A3148CE7BD8013DFE6012
Other,HTML Design.xlsx,.xlsx,9845,2026-06-10 21:40:04,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\HTML Design.xlsx,
Other,Logo_ico_256x256_1.ico,.ico,61844,2025-09-16 13:34:26,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Logo_ico_256x256_1.ico,
Other,VIA_UnifiedInput_SSOT.json,.json,33312,2026-06-09 04:03:29,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_UnifiedInput_SSOT.json,22BBBCA5F18547046D09D4827F5088B65DD95CF88E005C172B7C2BEBFBDF5BF3
Supportive,Invoke-VeritasNexusCore.ps1,.ps1,20693,2026-06-10 20:15:03,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1,F00501761EF6E594C461C35979997B4BF735A8A54079BECFA698D23AC3C353C8
Supportive,Read_Me_VeritasNexusCore.md,.md,11108,2026-06-08 20:22:08,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md,E17A9D1312F6B730094C4D868156681CF7B7D49C53FA1B2226AB5C859F6B79F2
Other,20250819兆豐個股報告-泓德能源(6873).pdf,.pdf,698089,2025-08-26 00:06:08,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20250819兆豐個股報告-泓德能源(6873).pdf,
Other,20251128兆豐訪談速報-神達(3706).pdf,.pdf,397184,2025-12-05 23:10:14,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251128兆豐訪談速報-神達(3706).pdf,
Other,20251204兆豐個股報告-志強-KY(6768).pdf,.pdf,608844,2025-12-05 23:05:59,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251204兆豐個股報告-志強-KY(6768).pdf,
Other,20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf,.pdf,327072,2025-12-05 23:05:29,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf,
Other,20251205兆豐晨會報告(二)-公司訪談摘要.pdf,.pdf,317766,2025-12-05 23:05:33,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251205兆豐晨會報告(二)-公司訪談摘要.pdf,
Other,20251208_台新台股盤勢分析.pdf,.pdf,928509,2025-12-11 17:45:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251208_台新台股盤勢分析.pdf,
Other,20260519兆豐個股報告-望隼(4771).pdf,.pdf,818339,2026-05-25 01:02:39,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20260519兆豐個股報告-望隼(4771).pdf,
Other,3014TT-20231005.pdf,.pdf,1129733,2023-10-21 15:32:21,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\3014TT-20231005.pdf,
