[OK] yfinance session 注入(統包 SUP_MDL740_NetUnified_v0104.py;無擬真+瀏覽器 UA)
[1/62] FETCH GSPC source=yfinance id=^GSPC start=2005-01-03
[2/62] FETCH TWII source=yfinance id=^TWII start=2005-01-03
[3/62] FETCH KOSPI source=yfinance id=^KS11 start=2005-01-03
[4/62] FETCH DJI source=yfinance id=^DJI start=2005-01-03
[5/62] FETCH IXIC source=yfinance id=^IXIC start=2005-01-03
[6/62] FETCH SOX source=yfinance id=^SOX start=2005-01-03
[7/62] FETCH N225 source=yfinance id=^N225 start=2005-01-03
[8/62] FETCH SSEC source=yfinance id=000001.SS start=2005-01-03
[9/62] FETCH HSI source=yfinance id=^HSI start=2005-01-03
[10/62] FETCH STOXX source=yfinance id=^STOXX50E start=2005-01-03
[11/62] FETCH XLK source=yfinance id=XLK start=2005-01-03
[12/62] FETCH XLF source=yfinance id=XLF start=2005-01-03
[13/62] FETCH XLV source=yfinance id=XLV start=2005-01-03
[14/62] FETCH XLY source=yfinance id=XLY start=2005-01-03
[15/62] FETCH XLP source=yfinance id=XLP start=2005-01-03
[16/62] FETCH XLE source=yfinance id=XLE start=2005-01-03
[17/62] FETCH XLI source=yfinance id=XLI start=2005-01-03
[18/62] FETCH XLB source=yfinance id=XLB start=2005-01-03
[19/62] FETCH XLU source=yfinance id=XLU start=2005-01-03
[20/62] FETCH XLRE source=yfinance id=XLRE start=2005-01-03
[21/62] FETCH XLC source=yfinance id=XLC start=2005-01-03
[22/62] FETCH BRENT source=yfinance id=BZ=F start=2005-01-03
[23/62] FETCH WTI source=yfinance id=CL=F start=2005-01-03
[24/62] FETCH GOLD source=yfinance id=GC=F start=2005-01-03
[25/62] FETCH DXY source=yfinance id=DX-Y.NYB start=2005-01-03
[26/62] FETCH VIX source=yfinance id=^VIX start=2005-01-03
[27/62] FETCH TNX source=yfinance id=^TNX start=2005-01-03
[28/62] FETCH SHY source=yfinance id=SHY start=2005-01-03
[29/62] FETCH IEI source=yfinance id=IEI start=2005-01-03
[30/62] FETCH IEF source=yfinance id=IEF start=2005-01-03
[31/62] FETCH TLT source=yfinance id=TLT start=2005-01-03
[32/62] FETCH T10Y2Y source=fred id=T10Y2Y start=2004-01-03
[33/62] FETCH T10Y3M source=fred id=T10Y3M start=2004-01-03
[34/62] FETCH DGS10 source=fred id=DGS10 start=2004-01-03
[35/62] FETCH DGS2 source=fred id=DGS2 start=2004-01-03
[36/62] FETCH DGS3MO source=fred id=DGS3MO start=2004-01-03
[37/62] FETCH CPI source=fred id=CPIAUCSL start=2004-01-03
[38/62] FETCH PPI source=fred id=PPIACO start=2004-01-03
[39/62] FETCH PMI_MFG source=fred id=NAPM start=2004-01-03
[40/62] FETCH PMI_NMF source=fred id=NMFBAI start=2004-01-03
[41/62] FETCH RETAIL source=fred id=RSAFS start=2004-01-03
[42/62] FETCH NFP source=fred id=PAYEMS start=2004-01-03
[43/62] FETCH UNRATE source=fred id=UNRATE start=2004-01-03
[44/62] FETCH ICSA source=fred id=ICSA start=2004-01-03
[45/62] FETCH U_LT5 source=fred id=UEMPLT5 start=2004-01-03
[46/62] FETCH U_5_14 source=fred id=UEMP5TO14 start=2004-01-03
[47/62] FETCH U_15_26 source=fred id=UEMP15T26 start=2004-01-03
[48/62] FETCH U_27 source=fred id=UEMP27OV start=2004-01-03
[49/62] FETCH UMCSENT source=fred id=UMCSENT start=2004-01-03
[50/62] FETCH OECDCC source=fred id=CSCICP03USM665S start=2004-01-03
[51/62] FETCH yield_curve_10y3m source=fred id=T10Y3M start=2004-01-03
[52/62] FETCH hy_oas source=fred id=BAMLH0A0HYM2 start=2004-01-03
[53/62] FETCH sahm source=fred id=SAHMREALTIME start=2004-01-03
[54/62] FETCH earnings_rev source=vdf/manual id=— start=2005-01-03
[55/62] FETCH oil_infl_shock source=derived id=BRENT/WTI start=2005-01-03
[56/62] FETCH move_repo source=manual/vendor id=^MOVE start=2005-01-03
[57/62] FETCH valuation_cape source=vendor id=Shiller CAPE start=2005-01-03
[58/62] FETCH concentration source=vdf/manual id=— start=2005-01-03
[59/62] FETCH leverage_margin source=fred id=BOGZ1FL663067003Q start=2004-01-03
