"def_priority","def_gate_type","def_accept_status","def_user_accept","def_suggested_action","def_owner_engine","def_domain_family","def_normalized_key","def_distinct_values","def_selected_canonical_value","def_suggested_canonical_value","def_reject_reason","def_secret_risk","def_suggestion_note","def_next_allowed_phase","def_sample_values_masked"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","ticker","459","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""All TW_TICKER"" || ""TW_Index_Ticker"" || ""ProviderTicker"" || ""CN_HK_Ticker"" || ""MacroIndicatorCode"" || ticker, ""term"": term, ""utc"": _utc()"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","policy","128","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","policy = $def_PARAM_POLICY || policy = [ordered]@{type=""object""} || { || ""Fed"" || ""ECB"" || ""PBOC/LPR/RRR"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit","83","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","""days"" || ""exact"" || ""opinion_preserved"" || ""指數"" || ""美元"" || ""美元/桶"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","field","48","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","""Adj Open"" || ""Adj Low"" || ""Adj High"" || c || ""report_date"" || ""broker"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","parsed_ticker","37","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""6415"" || """" || ""2383"" || ""3675"" || ""4771"" || ""3665"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema","36","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","""VPNS_NORMALIZED_EXTRACTION_BLOCK"" || ""VIA.CodexNexus.GovernanceRegistry"" || schema    = 'VIA.CodexNexus.RunLog' || schema = ""VIA.EngineForge.Config"" || schema = ""VIA.Engine.Manifest"" || schema = ""VIA.Engine.RuntimeConfig"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","field_id","36","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","""BAS_01"" || ""BAS_02"" || ""BAS_03"" || ""BAS_04"" || ""BAS_05"" || ""BAS_06"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","fields","24","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","[""source_id"", ""source_type"", ""block_id"", ""extracted_text"" || [ || fields=sorted(set(str(k) for row in rows for k in row.keys() if k is not None)) || fields=[str(s) for s in (schema_fields or [""_empty""])] || fields = sorted(set(k for r in rows for k in r.keys())) || fields = text_fields"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","tickers","23","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","[""NVDA"", ""AAPL"", ""MSFT""] || [""GOOGL"", ""AAPL""] || [""WMT"", ""NVDA"", ""AMZN""] || [""UNH"", ""CVS"", ""MCK"", ""COR""] || [""SNDK"", ""WDC"", ""MU"", ""STX""] || [""PLTR"", ""APP"", ""CRWD""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","yfinance","21","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","{ || ""無需金鑰"" || {""enabled"": True,  ""auto_adjust"": False, ""timeout_sec"": 30, ""retries"": 3} || False || true || 0"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","YFinanceTickerTPEX","17","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""1319.TWO"" || ""1560.TWO"" || ""1590.TWO"" || ""2308.TWO"" || ""2383.TWO"" || ""3231.TWO"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","YFinanceTickerTWSE","17","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""1319.TW"" || ""1560.TW"" || ""1590.TW"" || ""2308.TW"" || ""2383.TW"" || ""3231.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","schema_first_12_json","16","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ak_key\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""ak... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""cl... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""fi... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""via_code\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}]"" || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""ma..."
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","tw_ticker","15","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","{ || r.get(bt,"""") if bt else """" || bi.get(""tw_ticker"","""") || r.get(""tw_ticker"","""") || """" || r.get(basic_ticker_col, """") if basic_ticker_col else """""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","yfinance_ticker","14","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""All TW_Yfinance_Ticker"" || ""TW_Index_Yfinance_Ticker"" || ""YfinanceTicker when available"" || ""YfinanceTicker when applicable"" || ""1101.TW"" || ""1102.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","DATA_SOURCE_CONTRACT","fred","13","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","{ || ""環境變數 FRED_API_KEY"" || {""enabled"": True,  ""api_key"": """", ""timeout_sec"": 30, ""retries"": 3} || [ || DGS10"":     df_with_value_column || DCOILWTICO"": df"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","tw_yfinance_ticker","11","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""{TW_TICKER}.TW or {TW_TICKER}.TWO"" || ""6669.TW"" || ""1101.TW"" || ""1102.TW"" || ""1103.TW"" || ""1104.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_mn_twd","10","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","933 || 885 || 941 || 891 || 960 || 899"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","timezone_policy","10","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","timezone_policy = ""LOCAL_AS_IS"" || timezone_policy = ""ASIA_TAIPEI"" || timezone_policy = ""US_TO_TAIPEI_SHIFT_PLUS_1"" || timezone_policy = ""SOURCE_TIMEZONE_TO_TAIPEI"" || timezone_policy || r.get(""timezone_policy"", ""LOCAL_AS_IS"")"
