code,id,group,zh,en,axes,axisMode,axisContract,dataShape,fields,rule,renderer,engines,templateGovernance,sourceEvidence
VAP-CH-01,line,單軸 Single-Axis,折線圖,Line,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series[],date|value,多序列趨勢；線寬 1、Opacity 0.9,go.Scatter(mode=lines),VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-02,area,單軸 Single-Axis,面積折線,Area,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series,date|value,下方填色；areaUnderLine 0.75,go.Scatter(fill=tozeroy),VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-03,bar,單軸 Single-Axis,直條圖,Bar,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,categorical,label|value,分類比較；Bar Face 0.6／Dense 0.8；格寬 92%、可見間距 8%,go.Bar,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-04,hbar,單軸 Single-Axis,橫條圖,H-Bar,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,categorical,label|value,長標籤排序比較；條高 92%、可見間距 8%,go.Bar(orientation=h),VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-05,scatter,單軸 Single-Axis,散點圖,Scatter,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,xy,x|y,關聯與離群值辨識,go.Scatter(mode=markers),VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-06,sarea,堆疊 Stacked,堆疊面積,Stacked Area,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series[],date|value|group,同一時間軸顯示組成變化,go.Scatter(stackgroup),VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-07,sbar,堆疊 Stacked,堆疊直條,Stacked Bar,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,categorical[],label|value|group,外部格寬 92%、可見間距 8%；同柱堆疊段不留縫,go.Bar(barmode=stack),VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-08,sbar100,堆疊 Stacked,百分比堆疊,100% Stacked,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,categorical[],label|value|group,每期總和正規化為 100%,go.Bar(barnorm=percent),VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-09,multi,個別 Small Multiples,個別小圖,Small Multiples,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series[],date|value|panel,預設 2×2；同尺度或清楚標示各尺度,make_subplots,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-10,gbar,個別 Small Multiples,並列直條,Grouped Bar,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,categorical[],label|value|group,群組使用 92% 格寬；群內與群間均保留最小可見空隙,go.Bar(barmode=group),VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
