"FileName","Path","SizeBytes","ModifiedTime","Status","Risk"
"VeritasNexusCore_FREEZE_Run.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_181208\VeritasNexusCore_FREEZE_Run.log","468","2026-06-08 18:12:14","FOUND","LOW"
"VeritasNexusCore_FREEZE_Run.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_200408\VeritasNexusCore_FREEZE_Run.log","468","2026-06-08 20:04:16","FOUND","LOW"
"VeritasNexusCore_FREEZE_Run.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_HOTFIX_20260608_200957\VeritasNexusCore_FREEZE_Run.log","7003","2026-06-08 20:10:16","FOUND","LOW"
"VeritasNexusCore_FREEZE_Manifest_v03.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.csv","26546","2026-06-08 20:15:46","FOUND","LOW"
"VeritasNexusCore_FREEZE_Manifest_v03.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.json","39345","2026-06-08 20:15:46","FOUND","LOW"
"VeritasNexusCore_FREEZE_Report_v03.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Report_v03.html","37060","2026-06-08 20:15:46","FOUND","LOW"
"VeritasNexusCore_FREEZE_ReportRecovery_v03.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_ReportRecovery_v03.log","2335","2026-06-08 20:15:46","FOUND","LOW"
"VDF_NexusCore_ModuleRegistry.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.csv","5568","2026-06-09 03:22:00","FOUND","LOW"
"VDF_NexusCore_ModuleRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","9870","2026-06-09 03:22:00","FOUND","LOW"
"VDF_VRN_CrossLinks.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_VRN_CrossLinks.json","27893","2026-06-09 03:22:00","FOUND","LOW"
