selected_category,function,total_score,status,risk,object_type,row_count,col_count,sample_rows_saved,signature,error,next_action
BDI_FREIGHT,macro_shipping_bdi,368,TIMEOUT,MEDIUM,,0,0,0,() -> pandas.DataFrame,timeout after 25s,review before v027.3 small-scope seed plan
BDI_FREIGHT,macro_china_freight_index,344,OK_SAMPLE,LOW,DataFrame,5000,8,1,() -> pandas.DataFrame,,review before v027.3 small-scope seed plan
IRON_ORE,futures_foreign_commodity_realtime,332,CALL_FAIL,MEDIUM,,0,0,0,"(symbol: Union[str, List[str]]) -> pandas.DataFrame",futures_foreign_commodity_realtime() missing 1 required positional argument: 'symbol',review before v027.3 small-scope seed plan
IRON_ORE,futures_foreign_hist,318,OK_SAMPLE,LOW,DataFrame,2537,8,1,(symbol: str = 'ZSD') -> pandas.DataFrame,,review before v027.3 small-scope seed plan
STEEL,stock_hot_search_baidu,90,CALL_FAIL,MEDIUM,,0,0,0,"(symbol: str = 'A股', date: str = '20250616', time: str = '今日')","list indices must be integers or slices, not str",review before v027.3 small-scope seed plan
STEEL,stock_hk_hot_rank_detail_em,70,OK_SAMPLE,LOW,DataFrame,120,3,1,(symbol: str = '00700') -> pandas.DataFrame,,review before v027.3 small-scope seed plan
COMMODITY_FUTURES,futures_index_ccidx,282,CALL_FAIL,MEDIUM,,0,0,0,(symbol: str = '中证商品期货指数') -> pandas.DataFrame,"the JSON object must be str, bytes or bytearray, not dict",review before v027.3 small-scope seed plan
COMMODITY_FUTURES,futures_foreign_commodity_subscribe_exchange_symbol,276,OK_SAMPLE,LOW,list,30,1,1,() -> list,,review before v027.3 small-scope seed plan
MACRO_CHINA,macro_canada_core_cpi_monthly,228,OK_SAMPLE,LOW,DataFrame,220,4,1,() -> pandas.DataFrame,,review before v027.3 small-scope seed plan
MACRO_CHINA,macro_uk_core_cpi_monthly,228,OK_SAMPLE,LOW,DataFrame,221,4,1,() -> pandas.DataFrame,,review before v027.3 small-scope seed plan
