"ToolID","ToolName","FileName","Category","Layer","ToolType","Path","Status","Risk","SizeBytes","ModifiedTime"
"VIA-SUP-0001","VeritasNexusCore_FREEZE_Run","VeritasNexusCore_FREEZE_Run.log","_freeze_reports","L6_Report_Matrix","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_181208\VeritasNexusCore_FREEZE_Run.log","FOUND","LOW","468","2026-06-08 18:12:14"
"VIA-SUP-0002","VeritasNexusCore_FREEZE_Run","VeritasNexusCore_FREEZE_Run.log","_freeze_reports","L6_Report_Matrix","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_200408\VeritasNexusCore_FREEZE_Run.log","FOUND","LOW","468","2026-06-08 20:04:16"
"VIA-SUP-0003","VeritasNexusCore_FREEZE_Run","VeritasNexusCore_FREEZE_Run.log","_freeze_reports","L6_Report_Matrix","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_HOTFIX_20260608_200957\VeritasNexusCore_FREEZE_Run.log","FOUND","LOW","7003","2026-06-08 20:10:16"
"VIA-SUP-0004","VeritasNexusCore_FREEZE_Manifest_v03","VeritasNexusCore_FREEZE_Manifest_v03.csv","_freeze_reports","L6_Report_Matrix","csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.csv","FOUND","LOW","26546","2026-06-08 20:15:46"
"VIA-SUP-0005","VeritasNexusCore_FREEZE_Manifest_v03","VeritasNexusCore_FREEZE_Manifest_v03.json","_freeze_reports","L6_Report_Matrix","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.json","FOUND","LOW","39345","2026-06-08 20:15:46"
"VIA-SUP-0006","VeritasNexusCore_FREEZE_Report_v03","VeritasNexusCore_FREEZE_Report_v03.html","_freeze_reports","L6_Report_Matrix","html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Report_v03.html","FOUND","LOW","37060","2026-06-08 20:15:46"
"VIA-SUP-0007","VeritasNexusCore_FREEZE_ReportRecovery_v03","VeritasNexusCore_FREEZE_ReportRecovery_v03.log","_freeze_reports","L6_Report_Matrix","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_ReportRecovery_v03.log","FOUND","LOW","2335","2026-06-08 20:15:46"
"VIA-SUP-0008","VDF_NexusCore_ModuleRegistry","VDF_NexusCore_ModuleRegistry.csv","_nexus_registry","L2_SSOT_Registry","csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.csv","FOUND","LOW","5568","2026-06-09 03:22:00"
"VIA-SUP-0009","VDF_NexusCore_ModuleRegistry","VDF_NexusCore_ModuleRegistry.json","_nexus_registry","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","FOUND","LOW","9870","2026-06-09 03:22:00"
"VIA-SUP-0010","VDF_VRN_CrossLinks","VDF_VRN_CrossLinks.json","_nexus_registry","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_VRN_CrossLinks.json","FOUND","LOW","27893","2026-06-09 03:22:00"
