"runName","root","modified","resultJson","sealJson","matrixJson","status","risk","candidateRows","invalidAfter","duplicateAfter","recommendation"
"VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501","2026-06-10 22:15:01","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\runtime\vdf_akshare_key_repair_rootcause_smart_remap_result_v027811.json","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\registry\VDF_AkShare_KeyRepairRootCauseSmartRemap_Matrix_v027811.json","VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_READY_WITH_REVIEW","MEDIUM","","29","","ALLOW_V02782_SMART_REPAIRED_DRYRUN_WITH_REVIEW_NO_DB_WRITE"
"VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005","2026-06-10 22:10:05","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\runtime\vdf_akshare_canonical_key_repair_gate_result_v02781.json","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\registry\VDF_AkShare_CanonicalKeyRepairGate_Matrix_v02781.json","VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_READY_WITH_REVIEW","MEDIUM","","149","","ALLOW_V02782_REPAIRED_DRYRUN_WITH_REVIEW_NO_DB_WRITE"
"VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705","2026-06-10 22:07:05","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\runtime\vdf_akshare_candidate_to_canonical_dryrun_result_v0278.json","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\registry\VDF_AkShare_CandidateToCanonicalDryRun_Matrix_v0278.json","VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_READY_WITH_KEY_REVIEW","MEDIUM","","","","ALLOW_V0279_EXECUTION_GATE_REVIEW_WITH_KEY_REVIEW_NO_DB_WRITE"
"VDF_AKSHARE_CANONICAL_MAPPING_GATE_v0277_20260610_220358","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_MAPPING_GATE_v0277_20260610_220358","2026-06-10 22:03:58","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_MAPPING_GATE_v0277_20260610_220358\runtime\vdf_akshare_canonical_mapping_gate_result_v0277.json","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_MAPPING_GATE_v0277_20260610_220358\registry\VDF_AkShare_CanonicalMappingGate_Matrix_v0277.json","VDF_AKSHARE_CANONICAL_MAPPING_GATE_READY","LOW","","","","ALLOW_V0278_CANDIDATE_TO_CANONICAL_DRYRUN_ONLY_NO_DB_WRITE"
"VDF_AKSHARE_CANDIDATE_TO_CANONICAL_MERGE_GATE_REVIEW_v0276_20260610_215641","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_MERGE_GATE_REVIEW_v0276_20260610_215641","2026-06-10 21:56:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_MERGE_GATE_REVIEW_v0276_20260610_215641\runtime\vdf_akshare_candidate_to_canonical_merge_gate_review_result_v0276.json","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_MERGE_GATE_REVIEW_v0276_20260610_215641\registry\VDF_AkShare_CandidateToCanonicalMergeGateReview_Matrix_v0276.json","VDF_AKSHARE_CANDIDATE_TO_CANONICAL_MERGE_GATE_REVIEW_READY_WITH_MAPPING_REQUIRED","MEDIUM","","","","ALLOW_V0277_CANONICAL_MAPPING_GATE_ONLY_NO_DB_WRITE"
"VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853","2026-06-10 15:08:53","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853\runtime\vdf_akshare_candidate_staging_final_audit_result_v0275.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853\registry\VDF_AkShare_CandidateStagingFinalSeal_Matrix_v0275.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853\registry\VDF_AkShare_CandidateStagingFinalSeal_Matrix_v0275.json","VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_READY_WITH_QUARANTINE_NOTES","MEDIUM","","","","ALLOW_V0276_CANDIDATE_TO_CANONICAL_MERGE_GATE_REVIEW_ONLY"
"VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643","2026-06-10 14:56:43","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\runtime\vdf_akshare_candidate_seed_staging_result_v0274.json","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\registry\VDF_AkShare_SmallScopeCandidateSeedStaging_Matrix_v0274.json","VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_READY_WITH_NOTES","MEDIUM","","","","ALLOW_V0275_CANDIDATE_STAGING_FINAL_SEAL_WITH_QUARANTINE_NOTES"
"VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145249","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145249","2026-06-10 14:52:49","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145249\registry\VDF_AkShare_CandidateSeedRun_Result_v0274.json","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145249\registry\VDF_AkShare_SmallScopeCandidateSeedStaging_Matrix_v0274.json","TIMEOUT TIMEOUT OK_STAGED OK_STAGED TIMEOUT TIMEOUT","MEDIUM MEDIUM LOW LOW MEDIUM MEDIUM","     ","     ","     ","     "
"VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_HOTFIX_v02731_20260610_144716","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_HOTFIX_v02731_20260610_144716","2026-06-10 14:47:16","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_HOTFIX_v02731_20260610_144716\runtime\vdf_akshare_small_scope_seed_plan_gate_hotfix_result_v02731.json","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_HOTFIX_v02731_20260610_144716\registry\VDF_AkShare_SmallScopeSeedPlanGate_Hotfix_Matrix_v02731.json","VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_HOTFIX_READY","LOW","","","","ALLOW_V0274_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_ONLY"
"VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_v0273_20260610_144413","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_v0273_20260610_144413","2026-06-10 14:44:13","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_v0273_20260610_144413\runtime\vdf_akshare_small_scope_seed_plan_gate_result_v0273.json","","","VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_READY","LOW","","","","ALLOW_V0274_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_ONLY"
