file_name,file_path,row_count,column_count,symbol_col,date_col,value_col,source_col,symbol_score,date_score,value_score,source_score,selection_risk
VDF_AkShare_CandidateToCanonicalDryRunPlan_v0278.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\plan\VDF_AkShare_CandidateToCanonicalDryRunPlan_v0278.json,7,1,0,0,0,0,15,0,0,10,LOW
VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,150,18,symbol,date,value,vdf_original_row_hash,85,100,60,90,LOW
VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,150,18,symbol,date,value,vdf_original_row_hash,85,100,60,90,LOW
VDF_AkShare_CandidateToCanonicalDryRunAudit_v0278.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\registry\VDF_AkShare_CandidateToCanonicalDryRunAudit_v0278.json,1,1,0,0,0,0,25,0,0,10,LOW
VDF_AkShare_CanonicalKeyRepairGatePlan_v02781.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\plan\VDF_AkShare_CanonicalKeyRepairGatePlan_v02781.json,7,1,0,0,0,0,15,0,0,10,LOW
VDF_AkShare_CanonicalRepairedPreview_v02781.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\preview\VDF_AkShare_CanonicalRepairedPreview_v02781.csv,150,22,symbol,date,value,vdf_original_row_hash,85,100,60,90,LOW
VDF_AkShare_CanonicalRepairedPreview_v02781.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\preview\VDF_AkShare_CanonicalRepairedPreview_v02781.json,150,22,symbol,date,value,vdf_original_row_hash,85,100,60,90,LOW
VDF_AkShare_CanonicalKeyRepairAudit_v02781.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\registry\VDF_AkShare_CanonicalKeyRepairAudit_v02781.json,1,11,policy,generated_at,generated_at,generated_at,25,40,55,10,LOW
VDF_AkShare_KeyRepairReadinessGate_v02781.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\registry\VDF_AkShare_KeyRepairReadinessGate_v02781.json,4,1,0,0,0,0,15,0,0,10,LOW
VDF_AkShare_CanonicalPreview_v0277.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_MAPPING_GATE_v0277_20260610_220358\preview\VDF_AkShare_CanonicalPreview_v0277.csv,150,14,symbol,date,value,vdf_original_row_hash,85,100,60,90,LOW
VDF_AkShare_CanonicalPreview_v0277.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_MAPPING_GATE_v0277_20260610_220358\preview\VDF_AkShare_CanonicalPreview_v0277.json,150,14,symbol,date,value,vdf_original_row_hash,85,100,60,90,LOW
VDF_AkShare_KeyRepairRootCauseSmartRemapPlan_v027811.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\plan\VDF_AkShare_KeyRepairRootCauseSmartRemapPlan_v027811.json,7,1,0,0,0,0,15,0,0,10,LOW
VDF_AkShare_SmartRepairedPreview_v027811.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.csv,150,22,symbol,date,value,vdf_original_row_hash,85,100,55,90,LOW
