"def_no","def_accelerator"
"1","A01 latest-v0110 auto discovery"
"2","A02 no BASE re-scan"
"3","A03 candidate contract static validation"
"4","A04 fixed smoke script generation"
"5","A05 read-only smoke rerun"
"6","A06 child-isolated smoke execution"
"7","A07 no Stop-Process even on timeout"
"8","A08 P0 accept gate template"
"9","A09 P1 alias accept gate template"
"10","A10 smoke stdout/stderr capture"
"11","A11 contract JSON validity check"
"12","A12 policy consistency check"
"13","A13 one-page compact HTML report"
"14","A14 next-command index"
"15","A15 no source mutation / no canonical merge"
