"def_no","def_accelerator"
"1","A01 latest-v0114D auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 v0114D readiness reuse"
"6","A06 manual approval triple-confirm"
"7","A07 no-apply boundary retained"
"8","A08 mutation boundary retained"
"9","A09 canonical merge boundary retained"
"10","A10 DB write boundary retained"
"11","A11 evidence carry-forward manifest"
"12","A12 release approval CSV/JSON"
"13","A13 v0114F precheck generated"
"14","A14 blocked-if-no-user-YES"
"15","A15 compact HTML approval report"
