"def_no","def_accelerator"
"1","A01 latest-v0113G auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 secret gate final reuse"
"6","A06 P0 group recommendation engine"
"7","A07 P1 alias recommendation engine"
"8","A08 duplicate alias conflict detection"
"9","A09 run-specific path blocker"
"10","A10 row-level expansion preview"
"11","A11 formal accept fields kept blank"
"12","A12 editable final decision CSV"
"13","A13 v0114 precheck stays blocked"
"14","A14 compact HTML matrix report"
"15","A15 no delete / no Stop-Process"
