"def_no","def_accelerator"
"1","A01 latest-ready-v0114N auto discovery"
"2","A02 NoStall no Read-Host"
"3","A03 same-session NoClose execution"
"4","A04 no child process required"
"5","A05 no BASE re-scan"
"6","A06 v0114N readiness reuse"
"7","A07 final package review carry-forward"
"8","A08 preview-row compiler"
"9","A09 disabled script preview generation"
"10","A10 preview script AST validation"
"11","A11 dangerous-command scanner"
"12","A12 execution-disabled boundary gate"
"13","A13 apply-disabled boundary gate"
"14","A14 canonical/db-write boundary gate"
"15","A15 compact HTML script preview report"
