"def_no","def_accelerator"
"1","A01 latest-v0114H auto discovery"
"2","A02 NoStall no Read-Host"
"3","A03 same-session NoClose execution"
"4","A04 no child process required"
"5","A05 no BASE re-scan"
"6","A06 v0114H readiness reuse"
"7","A07 v0114G package validation bridge"
"8","A08 v0114F1 package index bridge"
"9","A09 package item to plan-row compiler"
"10","A10 candidate count validation"
"11","A11 raw secret scanner"
"12","A12 MACRO_CHINA exclusion scanner"
"13","A13 apply-disabled plan gate"
"14","A14 future-user-approval-required gate"
"15","A15 compact HTML apply-plan report"
