"def_no","def_accelerator"
"1","A01 latest-ready-v0114Q auto discovery"
"2","A02 NoStall no Read-Host"
"3","A03 same-session NoClose execution"
"4","A04 no child process required"
"5","A05 no BASE re-scan"
"6","A06 v0114Q readiness reuse"
"7","A07 final script seal carry-forward"
"8","A08 hash ledger carry-forward"
"9","A09 final release review-row compiler"
"10","A10 evidence hash verification"
"11","A11 execution-disabled boundary gate"
"12","A12 apply-disabled boundary gate"
"13","A13 source-mutation boundary gate"
"14","A14 canonical/db-write boundary gate"
"15","A15 compact HTML release-review report"
