"def_no","def_accelerator"
"1","A01 latest-v0113D auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 direct smoke reuse"
"6","A06 deterministic ticker_tokens false-positive resolution"
"7","A07 FRED runtime password parameter contract"
"8","A08 no secret value print"
"9","A09 forbidden sink scanner"
"10","A10 UI prototype scanner"
"11","A11 precheck expected-block validation"
"12","A12 P0/P1 no-auto-YES guard"
"13","A13 PowerShell AST syntax gate"
"14","A14 three-round convergence test"
"15","A15 compact HTML matrix report"
