"def_no","def_accelerator"
"1","A01 latest-v0114C auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 v0114C readiness reuse"
"6","A06 dry-run evidence inventory"
"7","A07 count consistency seal"
"8","A08 mutation boundary seal"
"9","A09 canonical merge boundary seal"
"10","A10 DB write boundary seal"
"11","A11 secret policy seal"
"12","A12 MACRO_CHINA exclusion seal"
"13","A13 manual release gate draft"
"14","A14 v0114E precheck generated"
"15","A15 compact HTML review seal report"
