"def_no","def_accelerator"
"1","A01 latest-v0114J approved-run auto discovery"
"2","A02 NoStall no Read-Host"
"3","A03 same-session NoClose execution"
"4","A04 no child process required"
"5","A05 no BASE re-scan"
"6","A06 v0114J approval gate reuse"
"7","A07 v0114I apply-plan bridge"
"8","A08 plan-to-execution-candidate compiler"
"9","A09 execution-disabled boundary gate"
"10","A10 candidate action count validation"
"11","A11 source-mutation boundary gate"
"12","A12 canonical-merge boundary gate"
"13","A13 DB-write boundary gate"
"14","A14 disabled executor stub generated"
"15","A15 compact HTML execution review report"
