"def_no","def_accelerator"
"1","A01 latest-v0108 auto discovery"
"2","A02 CSV-only incremental load; no BASE full re-scan"
"3","A03 child-isolated execution"
"4","A04 dynamic progress on every stage"
"5","A05 no delete / no cleanup mutation"
"6","A06 no Stop-Process"
"7","A07 P0 domain keys sequential review"
"8","A08 P1 path aliases separated from domain conflicts"
"9","A09 P2 engine bridge queue parallel-safe smoke only"
"10","A10 P3 UI/noise suppressed from blocking lane"
"11","A11 subsystem five-flow plan"
"12","A12 sandbox-only patch candidate folders"
"13","A13 Top10 local free libs matrix by function and language"
"14","A14 one-page compact professional HTML report"
"15","A15 next-command index generation"
