"module","status","version","path","message"
"Pester","OK_PRESENT","5.7.1","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\Pester\5.7.1\Pester.psd1","Already available"
"PSScriptAnalyzer","OK_PRESENT","1.25.0","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\PSScriptAnalyzer\1.25.0\PSScriptAnalyzer.psd1","Already available"
"ThreadJob","OK_PRESENT","2.1.0","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\ThreadJob\2.1.0\ThreadJob.psd1","Already available"
"ImportExcel","OK_PRESENT","7.8.10","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\ImportExcel\7.8.10\ImportExcel.psd1","Already available"
"PSWriteHTML","OK_PRESENT","1.40.0","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\PSWriteHTML\1.40.0\PSWriteHTML.psd1","Already available"
"PSFramework","OK_PRESENT","1.13.419","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\PSFramework\1.13.419\PSFramework.psd1","Already available"
"Pode","OK_PRESENT","2.13.4","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\Pode\2.13.4\Pode.psd1","Already available"
"Polaris","OK_PRESENT","0.2.0","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\Polaris\0.2.0\Polaris.psd1","Already available"
"BurntToast","OK_PRESENT","1.1.0","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\BurntToast\1.1.0\BurntToast.psd1","Already available"
"PSReadLine","OK_PRESENT","2.4.5","C:\program files\powershell\7\Modules\PSReadLine\PSReadLine.psd1","Already available"
