"def_no","def_accelerator"
"1","A01 latest-v0114I auto discovery"
"2","A02 NoStall no Read-Host"
"3","A03 exact approval phrase gate"
"4","A04 same-session NoClose execution"
"5","A05 no child process required"
"6","A06 no BASE re-scan"
"7","A07 v0114I readiness reuse"
"8","A08 apply-plan draft carry-forward"
"9","A09 future gate validation"
"10","A10 fail-zero gate"
"11","A11 apply-disabled boundary gate"
"12","A12 source-mutation boundary gate"
"13","A13 canonical-merge boundary gate"
"14","A14 DB-write boundary gate"
"15","A15 compact HTML approval report"
