"def_no","def_accelerator"
"1","A01 latest-v0113 auto discovery"
"2","A02 no BASE re-scan"
"3","A03 secret/API-key masking"
"4","A04 P0 suggestion classification"
"5","A05 P1 path alias suggestion classification"
"6","A06 user_accept kept blank"
"7","A07 no automatic YES"
"8","A08 sanitized editable CSV generation"
"9","A09 secret leak review matrix"
"10","A10 v0114 remains blocked until manual edit"
"11","A11 no source mutation"
"12","A12 no canonical merge"
"13","A13 no DB write"
"14","A14 compact HTML report"
"15","A15 no delete / no Stop-Process"
