"def_no","def_accelerator"
"1","A01 latest-v0114F1 auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 upstream readiness reuse"
"6","A06 package index hash validation"
"7","A07 ZIP integrity validation"
"8","A08 ZIP entry inventory"
"9","A09 candidate count validation"
"10","A10 disabled apply AST validation"
"11","A11 forbidden command scanner"
"12","A12 raw secret scanner"
"13","A13 MACRO_CHINA exclusion scanner"
"14","A14 no mutation/canonical/db boundary seal"
"15","A15 compact HTML validation report"
