"def_no","def_accelerator"
"1","A01 latest-v0109 auto discovery"
"2","A02 reuse v0109 matrices; no BASE full re-scan"
"3","A03 child-isolated worker"
"4","A04 dynamic progress per stage"
"5","A05 P0 decision packet generation"
"6","A06 P1 path alias registry generation"
"7","A07 P2 subsystem adapter candidate generation"
"8","A08 sandbox-only smoke script generation"
"9","A09 no canonical overwrite"
"10","A10 no source mutation"
"11","A11 no Stop-Process timeout policy"
"12","A12 equal-height compact HTML report"
"13","A13 toolbox review reconstruction"
"14","A14 next-command index"
"15","A15 static smoke result matrix"
