"Time","Round","Project","Lane","Stage","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"2026-06-11T11:45:23.159+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","db_write","false","This run never writes DATABASE.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-11T11:45:23.160+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","canonical_merge","false","This run never canonical-merges.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_CONSOLIDATE_v02864_20260611_114523"
"2026-06-11T11:45:23.161+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Delete","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","delete","false","This run does not delete originals; it backs up then repairs target artifacts.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_CONSOLIDATE_v02864_20260611_114523"
"2026-06-11T11:45:23.162+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","stop_process","false","This run never stops processes.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_CONSOLIDATE_v02864_20260611_114523"
"2026-06-11T11:45:23.188+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","Latest v02863 Run","OK_FOUND","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","exists","true","Latest v02863 run found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944"
"2026-06-11T11:45:24.167+08:00","Round0","VIA","CONTROL_PLANE","TARGET","P0 Parse Targets","OK_FOUND","LOW","SEQUENTIAL_REQUIRED","P0","REPAIR_ONLY","targets","3","Known P0 parse target files found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T11:45:24.294+08:00","Round1","VDF","Write_Governance","P0_REPAIR","Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","OK_REPAIRED_PARSE_CLEAN","LOW","SEQUENTIAL_REQUIRED","P0","REPAIR_IN_PLACE_WITH_BACKUP","parse_errors_after","0","Replaced broken artifact with guarded parse-clean review-only skeleton. Backup created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"2026-06-11T11:45:24.307+08:00","Round1","VDF","Write_Governance","P0_REPAIR","Original_Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","OK_REPAIRED_PARSE_CLEAN","LOW","SEQUENTIAL_REQUIRED","P0","REPAIR_IN_PLACE_WITH_BACKUP","parse_errors_after","0","Replaced broken artifact with guarded parse-clean review-only skeleton. Backup created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\backup\Original_Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"2026-06-11T11:45:24.317+08:00","Round1","VDF","Write_Governance","P0_REPAIR","Invoke-VDF-AkShare-StagingWrite-REPAIRED-NOT-RUN-v02851.ps1","OK_REPAIRED_PARSE_CLEAN","LOW","SEQUENTIAL_REQUIRED","P0","REPAIR_IN_PLACE_WITH_BACKUP","parse_errors_after","0","Replaced broken artifact with guarded parse-clean review-only skeleton. Backup created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\repair\Invoke-VDF-AkShare-StagingWrite-REPAIRED-NOT-RUN-v02851.ps1"
"2026-06-11T11:45:24.319+08:00","Round1","VIA","REPAIR","SEQUENTIAL_P0","P0 Sequential Repair Summary","OK_CREATED","LOW","SEQUENTIAL_REQUIRED","P0","REPAIR_WITH_BACKUP","repair_rows","3","P0 repair matrix created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_CONSOLIDATE_v02864_20260611_114523\repair\VIA_P0_SequentialRepair_v02864.csv"
