"def_no","def_accelerator"
"1","A01 latest-authorized-v0114M auto discovery"
"2","A02 NoStall no Read-Host"
"3","A03 same-session NoClose execution"
"4","A04 no child process required"
"5","A05 no BASE re-scan"
"6","A06 v0114M authorization reuse"
"7","A07 v0114L dryrun bridge"
"8","A08 v0114K execution review bridge"
"9","A09 final package review compiler"
"10","A10 source existence carry-forward"
"11","A11 execution-disabled boundary gate"
"12","A12 apply-disabled boundary gate"
"13","A13 source-mutation boundary gate"
"14","A14 canonical/db-write boundary gate"
"15","A15 compact HTML package review report"
