"def_no","def_accelerator"
"1","A01 latest-v0112 auto discovery"
"2","A02 no BASE re-scan"
"3","A03 direct smoke result reuse"
"4","A04 P0 manual accept board"
"5","A05 P1 path alias accept board"
"6","A06 editable accept CSV generation"
"7","A07 v0114 blocker script generation"
"8","A08 no automatic acceptance"
"9","A09 no source mutation"
"10","A10 no canonical merge"
"11","A11 no DB write"
"12","A12 dynamic progress"
"13","A13 compact one-page HTML report"
"14","A14 CSV + JSON synchronized outputs"
"15","A15 no delete / no Stop-Process"
