Group,Date,GroupRealTurnover,AdjustedMarketRealTurnover,ForeignNet,TrustNet,DealerNet,WhaleNet,MeanRet,AdvanceRatio,StockCount,TsmcReal,GroupRealTurnoverExTsmc,TurnoverShare,CapitalVelocity3D,VolSurgeSpike,DynSurgeThreshold,DynContractionThreshold,InstNetFlow,SmartMoneyNet,InstFlowPurity,TrustFlowPurity,HHI,NGroups,DynQuantileCutoff,DynVelocityHigh,DynVelocityLow,TrustPurityZ,InstPurityZ,TrustPurityZCutHigh,TrustPurityZCutLow,InstPurityZCutHigh,InstPurityZCutLow,DynTrustZThreshold,DynInstZHigh,DynInstZLow,MacroStressIndex,StressState,ExposureMultiplier,MigrationState,StrategySignal
A 上游材料,2024-10-01,6670584672.751069,82035121268.14275,21396679.746200148,16178088.92210697,3020224.8546463577,6560511.709182286,0.0,0.0,25,0.0,6670584672.751069,0.08131376622151106,,1.0,,,37574768.66830712,47155505.23213576,0.005632904836932473,0.002425287994348303,0.09788076455934423,13,0.754489987854295,,,,,,,,,,,,0.0,MID,0.5,NEUTRAL_ROTATION,HOLD
A 上游材料,2024-10-02,7805791240.53839,105536299229.60387,-2010775.8792676218,18469580.727407664,-9288438.777107913,3199327.6981529677,-0.0220602543541379,0.04,25,0.0,7805791240.53839,0.07396309419147035,,1.1073635677494655,,,16458804.848140042,10369693.769185096,0.002108537666580592,0.0023661381861569946,0.09135464318769107,13,0.7375220722879967,,,,,,,,,,,,0.0,MID,0.5,NEUTRAL_ROTATION,HOLD
A 上游材料,2024-10-03,22007635544.02491,176043282259.08456,30281881.772943296,-35547756.00352171,30002456.78507514,50630829.3540793,0.010371618393863403,0.76,25,0.0,22007635544.02491,0.1250126404234844,,1.8286052491709408,,,-5265874.230578415,75367411.90857603,-0.00023927487439731363,-0.0016152464871753546,0.08836920216126597,13,0.7297599256192915,,,,,,,,,,,,0.0,MID,0.5,NEUTRAL_ROTATION,HOLD
A 上游材料,2024-10-04,41446500388.29256,212730081095.45758,50385237.984039284,-12047833.807019867,21427278.54301028,-59764255.86217796,0.0047777760892650225,0.68,25,0.0,41446500388.29256,0.19483140407253652,11.351763785102547,1.8978231372651153,,,38337404.17701942,426.85785173624754,0.0009249853140278312,-0.000290683982824833,0.11705329644580628,13,0.8043385707590963,2.4887408974950898,-2.7906684941576607,,,,,,,,,,0.0,MID,0.5,NEUTRAL_ROTATION,HOLD
A 上游材料,2024-10-07,24435672338.888676,198548487816.1424,-101898815.49519527,45726127.6104931,12646703.610006172,-21151086.287459593,-0.0013253494574696622,0.44,25,0.0,24435672338.888676,0.12307156104616782,4.910846685469747,1.0762462445114742,1.6945982983763117,0.3054017016236883,-56172687.88470217,-64677070.56215559,-0.0022987985395149096,0.0018712858388480382,0.12030789771613584,13,0.8128005340619532,2.411713072282422,-2.5710307119098132,,,,,,,,,,0.13013733044744508,MID,0.5,RETAIL_WHALE_SPECULATION,HOLD
A 上游材料,2024-10-08,35590455532.77283,252722525491.31735,-48856516.64416693,-7636878.068562537,63098823.86817242,37465539.60696708,0.009078889651659483,0.72,25,0.0,35590455532.77283,0.14082818879552383,1.581554837203944,1.3181726862965228,1.6148695159647548,0.3851304840352452,-56493394.71272947,44070968.76241003,-0.0015873186748258546,-0.00021457657549592914,0.11710755453250155,13,0.8044796417845039,2.7214758128644982,-3.9005118519831536,,,,,,,,,,-0.028794306408338827,MID,0.5,NEUTRAL_ROTATION,HOLD
A 上游材料,2024-10-09,24895229860.871857,245074104135.9653,21551221.735906094,-90115602.79703794,-15741995.449776068,46787958.84433108,-0.03593498696613942,0.0,25,0.0,24895229860.871857,0.10158245788000582,-9.32489461925307,0.9466476873832124,1.5555997403566901,0.44440025964331,-68564381.06113185,-37518417.66657684,-0.002754117212185108,-0.0036197939645728583,0.10279450350363575,13,0.7672657091094529,2.7880262436259984,-1.1862854672348149,,,,,,,,,,0.38664648110566735,MID,0.5,NEUTRAL_ROTATION,HOLD
A 上游材料,2024-10-10,11716872980.639309,198359839069.7187,-6685652.515218545,2573448.0025721695,-9932831.514877224,12576674.02241249,0.021880072995921047,1.0,25,0.0,11716872980.639309,0.059068776399446014,-6.400278464672179,0.5465513143366502,1.5794496600829149,0.42055033991708524,-4112204.512646375,-1468362.0051111095,-0.0003509643331835454,0.00021963607583904646,0.10084509636080043,13,0.7621972505380811,2.1190723620031315,-1.4222710030157852,,,,,,,,,,0.35829225974923956,MID,0.5,NEUTRAL_ROTATION,HOLD
A 上游材料,2024-10-11,12062603938.755844,165445703424.12122,11998642.389259502,18871959.78352169,-273528.7993546844,-3068133.7168189837,-0.011222189088171288,0.08,25,0.0,12062603938.755844,0.07290974433970808,-6.791844445581575,0.6586996397741252,1.591543758965749,0.40845624103425104,30870602.17278119,27528939.656607524,0.002559198853706643,0.0015645013198923095,0.09139932948724441,13,0.7376382566668355,2.370945671170945,-0.4576077945491383,,,,,,,,,,0.1040533344070797,MID,0.5,NEUTRAL_ROTATION,HOLD
A 上游材料,2024-10-14,15207960412.358917,182742052100.41245,-31055308.10044696,43548376.47083173,-2681030.166619608,-17153858.39663124,0.0009959018405017916,0.44,25,0.0,15207960412.358917,0.08322091296207236,-1.8361544917933459,0.8802012297416667,1.5795004877682008,0.42049951223179916,12493068.370384768,-7341820.192866081,0.0008214821732592187,0.0028635251072485473,0.09505321187618639,13,0.7471383508780846,1.9263410605625901,-2.4579257606228353,1.4840710311103122,0.2870125213467684,,,,,,,,0.05547666861090668,MID,0.5,NEUTRAL_ROTATION,HOLD
