"Step","FixClass","Scope","ErrorTypes","FailCount","WarnCount","BlockerCount","AnchorCount","IsRuntimeArtifact","IsSourceFile","Strategy","Path"
"62","SEQUENTIAL_REQUIRED","VDF_Functional","MergeConflict","1","0","1","1","False","True","source conflict 必須逐檔人工判斷，不可批量修。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL501_DataModuleController.html"
"1","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\runtime\VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt"
"2","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_POST_PROMOTE_INTEGRITY_AUDIT_v02869_20260611_124053\runtime\VIA_PostPromoteIntegrityAudit_v02869_Transcript_20260611_124053.txt"
"3","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\stdout\VDF_VDF-Lane1-FinalSealHealth.stdout.txt"
"4","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\stdout\VDF_VDF-Lane2-ReadOnlyInventory.stdout.txt"
"5","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\stdout\VDF_VDF-Lane3-EnvSupportiveHardGate.stdout.txt"
"6","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\stdout\VRN_VRN-Lane1-EntryHealth.stdout.txt"
"7","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\stdout\VRN_VRN-Lane2-IOInventory.stdout.txt"
"8","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\stdout\VRN_VRN-Lane3-EngineCapability.stdout.txt"
"9","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\VIA_ReadOnlyLaneExecutionSmokeTest_v02874_Transcript_20260611_211312.txt"
