"Round","Category","Severity","RiskRank","FixMode","Target","Issue","Optimization","RecommendedAction","HydraRisk","Status","CreatedAt"
"1","BASE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","BASE writable","可繼續建立報告與 UI","KEEP","LOW","OPEN","2026-06-09T05:14:20+08:00"
"1","NEXUS","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","NexusCore exists and syntax probe expected","只建立橋接 plan，避免未知參數風險","BRIDGE_PLAN","LOW","OPEN","2026-06-09T05:14:20+08:00"
"1","TEMPLATE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","HTML templates detected: 17","可抽 component / chart / axis / drag spec","ANALYZE_COMPONENTS","LOW","OPEN","2026-06-09T05:14:20+08:00"
"1","ICON","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Icon assets detected: 5085","可建立圖像化功能鍵 registry","ICON_REGISTRY_READY","LOW","OPEN","2026-06-09T05:14:20+08:00"
"1","LIBS","INFO","4","PARALLEL","C:\Python313\python.exe","Python available","可建立 venv 安裝 HTML parse/data/icon libs","PYTHON_VENV_PLAN","LOW","OPEN","2026-06-09T05:14:20+08:00"
"1","LIBS","INFO","4","PARALLEL","C:\Program Files\nodejs\npm.ps1","npm available","可 local install chart/drag/build libs","NPM_LOCAL_PLAN","LOW","OPEN","2026-06-09T05:14:20+08:00"
"1","LIBS","INFO","4","PARALLEL","C:\ProgramData\chocolatey\bin\cargo.exe","Cargo available","可支援 Tauri secure packaging","RUST_READY","LOW","OPEN","2026-06-09T05:14:20+08:00"
"1","DUPLICATE","LOW","3","FINALIZE","FileHash","Duplicate hashes detected: 1062","只標記不刪除，避免九頭龍風險","MARK_DUPLICATES_ONLY","LOW","OPEN","2026-06-09T05:14:20+08:00"
"1","UI","INFO","4","PARALLEL","Editable HTML Builder","Need non-overlap editable chart builder","CSS Grid + drag handle + auto-fit + axis overlay","CREATE_EDITABLE_UI_PROTOTYPE","LOW","OPEN","2026-06-09T05:14:20+08:00"
"2","BASE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","BASE writable","可繼續建立報告與 UI","KEEP","LOW","OPEN","2026-06-09T05:14:24+08:00"
"2","NEXUS","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","NexusCore exists and syntax probe expected","只建立橋接 plan，避免未知參數風險","BRIDGE_PLAN","LOW","OPEN","2026-06-09T05:14:24+08:00"
"2","TEMPLATE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","HTML templates detected: 18","可抽 component / chart / axis / drag spec","ANALYZE_COMPONENTS","LOW","OPEN","2026-06-09T05:14:25+08:00"
"2","ICON","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Icon assets detected: 5085","可建立圖像化功能鍵 registry","ICON_REGISTRY_READY","LOW","OPEN","2026-06-09T05:14:25+08:00"
"2","LIBS","INFO","4","PARALLEL","C:\Python313\python.exe","Python available","可建立 venv 安裝 HTML parse/data/icon libs","PYTHON_VENV_PLAN","LOW","OPEN","2026-06-09T05:14:25+08:00"
"2","LIBS","INFO","4","PARALLEL","C:\Program Files\nodejs\npm.ps1","npm available","可 local install chart/drag/build libs","NPM_LOCAL_PLAN","LOW","OPEN","2026-06-09T05:14:25+08:00"
"2","LIBS","INFO","4","PARALLEL","C:\ProgramData\chocolatey\bin\cargo.exe","Cargo available","可支援 Tauri secure packaging","RUST_READY","LOW","OPEN","2026-06-09T05:14:25+08:00"
"2","DUPLICATE","LOW","3","FINALIZE","FileHash","Duplicate hashes detected: 1062","只標記不刪除，避免九頭龍風險","MARK_DUPLICATES_ONLY","LOW","OPEN","2026-06-09T05:14:25+08:00"
"2","UI","INFO","4","PARALLEL","Editable HTML Builder","Need non-overlap editable chart builder","CSS Grid + drag handle + auto-fit + axis overlay","CREATE_EDITABLE_UI_PROTOTYPE","LOW","OPEN","2026-06-09T05:14:25+08:00"
"3","BASE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","BASE writable","可繼續建立報告與 UI","KEEP","LOW","OPEN","2026-06-09T05:14:29+08:00"
"3","NEXUS","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","NexusCore exists and syntax probe expected","只建立橋接 plan，避免未知參數風險","BRIDGE_PLAN","LOW","OPEN","2026-06-09T05:14:29+08:00"
"3","TEMPLATE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","HTML templates detected: 18","可抽 component / chart / axis / drag spec","ANALYZE_COMPONENTS","LOW","OPEN","2026-06-09T05:14:29+08:00"
"3","ICON","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Icon assets detected: 5085","可建立圖像化功能鍵 registry","ICON_REGISTRY_READY","LOW","OPEN","2026-06-09T05:14:29+08:00"
"3","LIBS","INFO","4","PARALLEL","C:\Python313\python.exe","Python available","可建立 venv 安裝 HTML parse/data/icon libs","PYTHON_VENV_PLAN","LOW","OPEN","2026-06-09T05:14:29+08:00"
"3","LIBS","INFO","4","PARALLEL","C:\Program Files\nodejs\npm.ps1","npm available","可 local install chart/drag/build libs","NPM_LOCAL_PLAN","LOW","OPEN","2026-06-09T05:14:29+08:00"
"3","LIBS","INFO","4","PARALLEL","C:\ProgramData\chocolatey\bin\cargo.exe","Cargo available","可支援 Tauri secure packaging","RUST_READY","LOW","OPEN","2026-06-09T05:14:29+08:00"
"3","DUPLICATE","LOW","3","FINALIZE","FileHash","Duplicate hashes detected: 1062","只標記不刪除，避免九頭龍風險","MARK_DUPLICATES_ONLY","LOW","OPEN","2026-06-09T05:14:29+08:00"
"3","UI","INFO","4","PARALLEL","Editable HTML Builder","Need non-overlap editable chart builder","CSS Grid + drag handle + auto-fit + axis overlay","CREATE_EDITABLE_UI_PROTOTYPE","LOW","OPEN","2026-06-09T05:14:29+08:00"
