"Time","Round","Project","Lane","Stage","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"2026-06-11T11:20:18.473+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","db_write_enabled","false","This run never writes DATABASE.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-11T11:20:18.483+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","canonical_merge_enabled","false","This run never canonical-merges.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018"
"2026-06-11T11:20:18.484+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Delete","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","delete_enabled","false","This run never deletes files.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018"
"2026-06-11T11:20:18.485+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","stop_process_enabled","false","This run never stops processes.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018"
"2026-06-11T11:20:18.493+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","ProjectRoot","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T11:20:18.496+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","SupportiveRoot","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules"
"2026-06-11T11:20:18.498+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","NexusCore","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"2026-06-11T11:20:18.499+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","VDF","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF"
"2026-06-11T11:20:18.499+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","VRN","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN"
"2026-06-11T11:20:18.736+08:00","Round0","VIA","NEXUSCORE","PARSE","Invoke-VeritasNexusCore.ps1","OK_PARSE","LOW","SEQUENTIAL_GATED","P0","CONTROL_PLANE_ONLY","parse_errors","0","NexusCore parses cleanly.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"2026-06-11T11:20:18.998+08:00","Round0","VIA","TOOLING","PS_EXTENSION","Pester","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","Pester","PowerShell extension available.","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\Pester\5.7.1\Pester.psd1"
"2026-06-11T11:20:19.048+08:00","Round0","VIA","TOOLING","PS_EXTENSION","PSScriptAnalyzer","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","PSScriptAnalyzer","PowerShell extension available.","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\PSScriptAnalyzer\1.25.0\PSScriptAnalyzer.psd1"
"2026-06-11T11:20:19.080+08:00","Round0","VIA","TOOLING","PS_EXTENSION","ThreadJob","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","ThreadJob","PowerShell extension available.","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\ThreadJob\2.1.0\ThreadJob.psd1"
"2026-06-11T11:20:19.124+08:00","Round0","VIA","TOOLING","PS_EXTENSION","ImportExcel","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","ImportExcel","PowerShell extension available.","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\ImportExcel\7.8.10\ImportExcel.psd1"
"2026-06-11T11:20:19.353+08:00","Round0","VIA","TOOLING","PS_EXTENSION","PSWriteHTML","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","PSWriteHTML","PowerShell extension available.","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\PSWriteHTML\1.40.0\PSWriteHTML.psd1"
"2026-06-11T11:20:19.762+08:00","Round0","VIA","TOOLING","PS_EXTENSION","PSFramework","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","PSFramework","PowerShell extension available.","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\PSFramework\1.13.419\PSFramework.psd1"
"2026-06-11T11:20:19.821+08:00","Round0","VIA","TOOLING","PS_EXTENSION","Pode","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","Pode","PowerShell extension available.","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\Pode\2.13.4\Pode.psd1"
"2026-06-11T11:20:19.858+08:00","Round0","VIA","TOOLING","PS_EXTENSION","Polaris","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","Polaris","PowerShell extension available.","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\Polaris\0.2.0\Polaris.psd1"
"2026-06-11T11:20:19.940+08:00","Round0","VIA","TOOLING","PS_EXTENSION","BurntToast","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","BurntToast","PowerShell extension available.","C:\Users\tonyk\OneDrive\Documents\PowerShell\Modules\BurntToast\1.1.0\BurntToast.psd1"
"2026-06-11T11:20:19.974+08:00","Round0","VIA","TOOLING","PS_EXTENSION","PSReadLine","OK_PRESENT","LOW","PARALLEL_SAFE","P1","CHECK_INSTALL","module","PSReadLine","PowerShell extension available.","C:\program files\powershell\7\Modules\PSReadLine\PSReadLine.psd1"
